,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,39,363
1,0,366,212,15,127
2,1,212,544,1,6
3,1,212,622,1,9
4,1,212,412,1,5
5,1,366,396,20,141
6,1,366,212,23,213
7,1,396,519,1,8
8,1,396,627,3,21
9,1,396,370,2,13
10,2,212,152,1,7
11,2,212,487,1,9
12,2,366,396,22,152
13,2,366,212,17,155
14,2,396,512,2,13
15,2,396,516,1,8
16,2,396,563,2,15
17,2,396,627,2,16
18,2,396,160,1,8
19,2,396,255,1,8
20,2,412,212,1,7
21,2,627,384,1,5
22,3,212,512,1,8
23,3,212,14,1,7
24,3,212,160,1,7
25,3,212,214,1,8
26,3,212,302,1,7
27,3,212,414,1,6
28,3,366,396,19,150
29,3,366,212,10,80
30,3,396,512,1,9
31,3,396,519,1,7
32,3,396,24,1,8
33,3,396,38,1,8
34,3,396,238,1,9
35,3,396,255,1,7
36,3,396,495,2,14
37,3,519,396,1,6
38,4,38,501,1,7
39,4,212,587,1,8
40,4,212,255,1,7
41,4,212,302,1,7
42,4,212,380,1,7
43,4,212,487,1,9
44,4,366,396,10,80
45,4,366,212,9,73
46,4,396,84,1,9
47,4,396,103,1,6
48,4,396,238,1,7
49,4,396,255,1,9
50,4,512,560,1,9
51,5,152,54,1,7
52,5,212,238,1,5
53,5,212,255,1,7
54,5,212,349,2,14
55,5,212,495,2,13
56,5,366,396,17,121
57,5,366,212,7,69
58,5,396,512,1,7
59,5,396,516,1,7
60,5,396,5,1,8
61,5,396,103,1,9
62,5,396,145,1,8
63,5,396,238,3,20
64,5,396,255,2,16
65,5,396,276,3,23
66,5,512,13,1,8
67,5,563,54,1,8
68,6,212,16,1,6
69,6,212,103,1,7
70,6,212,627,1,9
71,6,212,214,1,8
72,6,212,238,1,10
73,6,212,255,1,7
74,6,212,302,1,7
75,6,212,370,2,16
76,6,212,378,1,6
77,6,212,495,1,9
78,6,214,286,1,7
79,6,276,286,1,6
80,6,276,212,1,7
81,6,349,326,1,5
82,6,366,396,9,82
83,6,366,212,4,28
84,6,370,384,1,7
85,6,396,563,1,9
86,6,396,238,1,9
87,6,396,489,1,7
88,6,487,212,1,8
89,6,495,94,1,8
90,6,560,302,1,7
91,7,54,544,1,8
92,7,103,396,1,7
93,7,103,212,2,13
94,7,212,24,1,6
95,7,212,158,1,5
96,7,212,495,1,7
97,7,255,382,1,8
98,7,255,13,1,8
99,7,255,212,1,6
100,7,276,254,1,8
101,7,366,396,4,30
102,7,366,212,6,40
103,7,396,33,1,9
104,7,396,38,1,9
105,7,396,563,1,7
106,7,396,103,1,6
107,7,396,178,1,7
108,7,396,255,1,9
109,7,396,276,1,9
110,7,501,627,1,7
111,7,516,396,1,10
112,8,103,212,1,8
113,8,212,12,1,8
114,8,212,580,1,9
115,8,212,214,1,9
116,8,212,276,1,7
117,8,238,68,1,9
118,8,366,396,3,20
119,8,366,212,5,33
120,8,396,276,1,6
121,8,396,302,1,8
122,8,396,370,1,8
123,9,12,501,1,8
124,9,68,196,1,8
