,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,34,224
1,0,366,212,31,169
2,1,212,598,1,7
3,1,212,145,1,6
4,1,212,197,1,7
5,1,366,396,24,148
6,1,366,212,23,154
7,1,396,627,2,11
8,1,396,145,1,6
9,1,396,178,1,7
10,1,396,276,1,6
11,1,396,370,1,7
12,2,212,627,1,4
13,2,212,255,2,11
14,2,212,273,1,5
15,2,212,405,2,14
16,2,366,396,20,88
17,2,366,212,15,107
18,2,370,286,1,7
19,2,396,160,2,11
20,2,396,414,1,7
21,2,396,489,1,7
22,2,598,278,1,5
23,3,212,24,1,6
24,3,212,627,1,7
25,3,212,178,1,5
26,3,212,255,2,16
27,3,212,302,1,7
28,3,212,323,1,6
29,3,212,505,1,6
30,3,278,238,1,7
31,3,366,396,10,76
32,3,366,212,10,62
33,3,396,5,1,5
34,3,396,38,1,6
35,3,396,111,1,5
36,3,396,302,1,7
37,3,405,212,1,6
38,4,212,214,1,6
39,4,212,255,2,12
40,4,212,370,1,5
41,4,212,495,1,6
42,4,366,396,9,52
43,4,366,212,10,76
44,4,396,512,1,7
45,4,396,563,1,7
46,4,396,619,2,13
47,4,396,627,1,7
48,4,396,158,1,5
49,4,396,238,1,6
50,4,396,255,2,12
51,4,396,374,1,6
52,4,396,453,1,5
53,4,405,212,1,6
54,4,489,396,1,6
55,4,627,70,1,5
56,4,627,623,1,5
57,5,5,212,1,7
58,5,70,619,1,5
59,5,212,24,1,6
60,5,212,124,1,5
61,5,212,388,1,5
62,5,212,585,1,5
63,5,212,495,1,8
64,5,214,212,1,7
65,5,255,384,1,6
66,5,366,396,2,12
67,5,366,212,1,6
68,5,396,563,1,4
69,5,396,158,1,4
70,6,212,5,1,4
71,6,212,324,1,6
72,6,212,472,1,7
73,6,366,396,3,17
74,6,366,212,2,10
75,6,396,544,1,6
76,6,396,255,1,7
77,6,619,623,1,6
78,6,627,286,1,5
79,7,5,278,1,5
80,7,212,545,1,7
81,7,212,405,1,7
82,7,212,495,1,7
83,7,366,396,3,18
84,7,396,273,1,6
85,7,544,212,1,5
86,7,544,286,1,6
87,7,585,425,1,8
88,8,212,238,1,7
89,8,366,396,2,12
90,8,388,212,1,6
91,8,396,238,1,5
92,8,396,276,1,6
93,8,425,323,1,5
94,9,212,627,1,6
95,9,212,163,1,7
96,9,366,212,1,3
97,10,163,212,1,6
98,10,366,396,2,9
99,10,366,212,1,6
100,10,425,544,1,5
101,10,545,212,1,5
102,12,366,396,1,7
103,12,366,212,1,5
104,13,366,396,1,7
105,13,396,598,1,7
106,14,366,396,2,11
107,14,366,212,1,6
108,15,212,349,1,7
109,15,366,396,1,6
110,16,396,145,1,5
111,17,212,145,1,6
112,17,396,627,1,6
113,18,627,501,1,6
114,19,349,286,1,6
