,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,27,164
1,0,366,212,16,113
2,1,366,396,14,87
3,1,366,212,11,63
4,1,396,606,1,6
5,1,396,255,1,5
6,1,396,302,2,10
7,2,212,145,1,9
8,2,212,214,1,7
9,2,212,238,1,5
10,2,366,396,3,20
11,2,366,212,7,39
12,2,396,598,1,6
13,3,212,519,1,4
14,3,212,163,1,6
15,3,238,501,1,4
16,3,366,396,5,33
17,3,366,212,7,35
18,3,396,563,1,6
19,3,396,627,1,5
20,4,212,405,1,7
21,4,366,212,2,12
22,4,396,558,1,6
23,5,212,232,1,5
24,5,212,276,1,7
25,5,366,396,4,22
26,5,396,519,1,6
27,5,396,8,1,6
28,5,396,214,1,6
29,6,212,627,1,5
30,6,366,396,4,31
31,6,396,276,1,6
32,8,276,501,1,6
33,8,366,212,1,5
34,8,396,276,1,6
35,9,396,512,1,7
36,10,212,388,1,8
37,11,366,396,1,6
38,12,396,276,1,7
39,14,366,212,1,5
