,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,37,344.0
1,0,366,212,33,342.0
2,1,212,545,1,10.0
3,1,212,615,1,8.0
4,1,212,619,1,10.0
5,1,212,214,1,10.0
6,1,366,396,38,343.0
7,1,366,212,30,286.0
8,1,396,544,1,8.0
9,1,396,33,1,8.0
10,1,396,103,1,9.0
11,1,396,627,1,8.0
12,1,396,145,1,9.0
13,1,396,158,1,8.0
14,1,396,238,1,7.0
15,1,396,255,1,8.0
16,1,396,276,3,22.0
17,1,396,495,4,35.0
18,2,212,565,1,9.0
19,2,212,619,1,12.0
20,2,212,627,2,14.0
21,2,212,276,1,7.0
22,2,212,302,1,5.0
23,2,212,407,1,8.0
24,2,212,495,1,5.0
25,2,276,278,1,9.0
26,2,366,396,37,347.0
27,2,366,212,30,266.0
28,2,396,24,1,9.0
29,2,396,558,2,23.0
30,2,396,563,1,6.0
31,2,396,103,1,7.0
32,2,396,627,1,8.0
33,2,396,158,1,8.0
34,2,396,214,1,8.0
35,2,396,238,1,6.0
36,2,396,255,2,10.0
37,2,396,276,1,7.0
38,2,396,308,2,18.0
39,2,396,370,1,7.0
40,2,396,495,1,9.0
41,2,495,335,1,9.0
42,3,33,396,1,8.0
43,3,212,544,1,7.0
44,3,212,93,1,5.0
45,3,212,214,1,7.0
46,3,212,273,1,5.0
47,3,212,276,1,8.0
48,3,276,560,1,10.0
49,3,366,396,28,214.0
50,3,366,212,15,128.0
51,3,396,519,1,6.0
52,3,396,563,1,7.0
53,3,396,627,1,7.0
54,3,396,214,2,17.0
55,3,396,255,2,19.0
56,3,558,501,1,8.0
57,3,563,212,1,7.0
58,4,212,24,1,10.0
59,4,212,76,1,7.0
60,4,212,627,1,9.0
61,4,212,123,1,10.0
62,4,212,178,1,5.0
63,4,212,231,1,8.0
64,4,212,255,1,7.0
65,4,212,330,1,7.0
66,4,212,407,1,8.0
67,4,212,505,1,8.0
68,4,214,70,1,9.0
69,4,255,560,1,9.0
70,4,276,212,1,9.0
71,4,335,112,1,10.0
72,4,366,396,23,166.0
73,4,366,212,19,175.0
74,4,396,516,1,7.0
75,4,396,519,1,7.0
76,4,396,528,1,8.0
77,4,396,544,2,22.0
78,4,396,93,1,11.0
79,4,396,103,1,7.0
80,4,396,627,1,7.0
81,4,396,178,3,21.0
82,4,396,238,1,8.0
83,4,396,255,2,16.0
84,4,396,276,1,7.0
85,4,396,370,1,9.0
86,4,396,495,2,16.0
87,4,544,212,1,6.0
88,4,544,326,1,8.0
89,4,560,495,1,8.0
90,5,76,212,1,5.0
91,5,212,519,1,8.0
92,5,212,544,1,9.0
93,5,212,582,1,8.0
94,5,212,528,1,8.0
95,5,212,238,1,11.0
96,5,212,273,1,8.0
97,5,212,323,1,9.0
98,5,212,345,1,7.0
99,5,212,376,1,10.0
100,5,212,414,1,7.0
101,5,212,453,1,8.0
102,5,212,487,2,16.0
103,5,273,212,1,8.0
104,5,276,13,1,10.0
105,5,366,396,21,178.0
106,5,366,212,18,162.0
107,5,370,396,1,7.0
108,5,396,544,1,8.0
109,5,396,558,1,10.0
110,5,396,103,1,10.0
111,5,396,627,1,8.0
112,5,396,145,1,10.0
113,5,396,158,2,14.0
114,5,396,178,1,8.0
115,5,396,214,1,10.0
116,5,396,238,1,9.0
117,5,396,255,4,31.0
118,5,396,273,1,9.0
119,5,396,302,1,11.0
120,5,396,308,1,10.0
121,5,396,414,1,7.0
122,5,396,453,1,7.0
123,5,544,70,1,7.0
124,5,560,302,1,7.0
125,6,112,278,2,18.0
126,6,123,560,1,7.0
127,6,212,544,1,9.0
128,6,212,545,1,9.0
129,6,212,565,1,7.0
130,6,212,598,1,9.0
131,6,212,616,1,10.0
132,6,212,276,1,9.0
133,6,212,487,1,7.0
134,6,214,623,1,8.0
135,6,214,212,1,8.0
136,6,238,623,1,8.0
137,6,255,384,1,7.0
138,6,276,382,1,8.0
139,6,302,559,1,11.0
140,6,308,396,1,8.0
141,6,366,396,15,148.0
142,6,366,212,14,122.0
143,6,396,598,1,11.0
144,6,396,614,1,9.0
145,6,396,103,1,8.0
146,6,396,627,2,16.0
147,6,396,145,2,19.0
148,6,396,158,1,8.0
149,6,396,255,3,18.0
150,6,396,273,1,10.0
151,6,396,276,3,25.0
152,6,396,302,2,22.0
153,6,396,370,1,9.0
154,6,453,623,1,6.0
155,6,565,623,1,8.0
156,7,93,623,1,9.0
157,7,158,70,1,8.0
158,7,178,396,1,9.0
159,7,212,14,1,7.0
160,7,212,544,1,8.0
161,7,212,545,2,18.0
162,7,212,103,1,7.0
163,7,212,619,1,6.0
164,7,212,627,1,9.0
165,7,212,117,1,7.0
166,7,212,152,1,8.0
167,7,212,214,1,8.0
168,7,212,330,1,7.0
169,7,212,412,1,11.0
170,7,212,453,1,8.0
171,7,212,487,1,6.0
172,7,212,489,1,8.0
173,7,214,382,1,8.0
174,7,214,623,1,7.0
175,7,238,384,1,10.0
176,7,276,560,1,7.0
177,7,302,70,1,8.0
178,7,366,396,14,104.0
179,7,366,212,9,102.0
180,7,396,24,1,7.0
181,7,396,544,1,8.0
182,7,396,558,1,5.0
183,7,396,214,1,6.0
184,7,396,276,1,8.0
185,7,396,370,1,11.0
186,7,396,495,1,8.0
187,7,453,382,1,10.0
188,7,495,13,1,11.0
189,7,544,212,2,12.0
190,7,558,396,1,8.0
191,8,212,24,1,8.0
192,8,212,545,1,10.0
193,8,212,565,1,7.0
194,8,212,528,1,7.0
195,8,212,616,1,5.0
196,8,212,622,1,6.0
197,8,212,627,1,9.0
198,8,212,124,1,5.0
199,8,212,145,1,7.0
200,8,212,197,1,5.0
201,8,212,214,1,7.0
202,8,212,255,1,8.0
203,8,212,273,1,6.0
204,8,212,276,1,9.0
205,8,212,323,1,9.0
206,8,212,405,1,7.0
207,8,212,449,1,9.0
208,8,212,453,2,21.0
209,8,212,505,1,8.0
210,8,273,13,1,10.0
211,8,323,623,1,7.0
212,8,366,396,14,118.0
213,8,366,212,8,68.0
214,8,370,623,1,10.0
215,8,382,302,1,7.0
216,8,396,38,1,10.0
217,8,396,558,1,6.0
218,8,396,563,1,7.0
219,8,396,627,2,19.0
220,8,396,178,1,8.0
221,8,396,238,1,8.0
222,8,396,276,1,12.0
223,8,396,302,1,6.0
224,8,396,495,1,8.0
225,8,495,212,1,10.0
226,8,528,623,1,8.0
227,8,544,501,1,9.0
228,8,545,212,2,17.0
229,8,558,13,2,18.0
230,8,598,212,1,9.0
231,8,614,396,1,7.0
232,8,616,396,1,9.0
233,8,619,382,1,9.0
234,8,627,623,1,6.0
235,9,212,25,1,7.0
236,9,212,38,1,5.0
237,9,212,51,1,8.0
238,9,212,63,1,7.0
239,9,212,598,2,12.0
240,9,212,178,1,6.0
241,9,212,231,1,9.0
242,9,212,255,3,24.0
243,9,212,279,1,7.0
244,9,212,302,1,9.0
245,9,212,370,2,18.0
246,9,212,453,1,10.0
247,9,212,487,1,10.0
248,9,212,495,1,7.0
249,9,302,626,1,6.0
250,9,308,501,1,5.0
251,9,323,623,1,8.0
252,9,366,396,6,47.0
253,9,366,212,8,80.0
254,9,370,623,1,9.0
255,9,396,5,1,8.0
256,9,396,531,1,9.0
257,9,396,544,1,8.0
258,9,396,558,1,7.0
259,9,396,111,1,10.0
260,9,396,627,2,15.0
261,9,396,158,1,10.0
262,9,396,238,1,8.0
263,9,396,255,3,27.0
264,9,396,276,2,14.0
265,9,396,308,1,8.0
266,9,396,495,2,20.0
267,9,487,212,1,9.0
268,9,495,75,1,8.0
269,9,495,335,1,9.0
270,9,495,382,1,7.0
271,9,544,623,1,7.0
272,9,544,212,1,6.0
273,9,598,212,1,8.0
274,9,614,396,1,10.0
275,9,623,539,1,8.0
276,9,627,115,1,6.0
277,9,627,501,1,10.0
278,10,13,495,1,7.0
279,10,14,623,1,8.0
280,10,38,501,1,6.0
281,10,145,381,1,10.0
282,10,158,278,1,7.0
283,10,212,14,1,6.0
284,10,212,545,2,17.0
285,10,212,63,1,7.0
286,10,212,93,1,8.0
287,10,212,619,1,9.0
288,10,212,627,1,9.0
289,10,212,215,1,7.0
290,10,212,255,1,10.0
291,10,212,273,1,8.0
292,10,212,279,1,6.0
293,10,212,370,1,7.0
294,10,212,453,1,9.0
295,10,212,495,1,8.0
296,10,255,384,1,7.0
297,10,278,484,1,6.0
298,10,326,288,1,8.0
299,10,366,396,7,67.0
300,10,366,212,4,35.0
301,10,370,13,1,7.0
302,10,382,276,1,8.0
303,10,382,51,1,8.0
304,10,396,512,1,9.0
305,10,396,516,1,7.0
306,10,396,519,1,8.0
307,10,396,544,1,7.0
308,10,396,627,2,13.0
309,10,396,238,1,9.0
310,10,396,255,1,7.0
311,10,396,276,1,7.0
312,10,396,308,1,8.0
313,10,396,345,1,6.0
314,10,396,370,1,9.0
315,10,495,382,1,8.0
316,10,528,54,1,10.0
317,10,545,384,1,8.0
318,10,545,623,1,8.0
319,10,558,70,1,8.0
320,10,622,212,1,9.0
321,10,623,124,1,8.0
322,10,623,255,1,8.0
323,11,63,254,1,8.0
324,11,103,70,1,9.0
325,11,178,278,1,8.0
326,11,212,627,2,17.0
327,11,212,214,2,13.0
328,11,212,255,1,6.0
329,11,212,349,1,6.0
330,11,212,585,1,6.0
331,11,212,484,1,8.0
332,11,212,487,1,7.0
333,11,214,212,1,8.0
334,11,214,285,1,8.0
335,11,231,212,2,21.0
336,11,255,88,1,8.0
337,11,255,501,1,7.0
338,11,276,212,1,10.0
339,11,288,13,1,9.0
340,11,302,278,1,10.0
341,11,366,396,8,55.0
342,11,366,212,6,54.0
343,11,370,212,2,14.0
344,11,384,238,2,18.0
345,11,396,5,1,8.0
346,11,396,544,1,9.0
347,11,396,627,1,7.0
348,11,396,160,1,7.0
349,11,396,255,2,19.0
350,11,396,308,1,7.0
351,11,396,374,1,9.0
352,11,396,495,1,7.0
353,11,453,326,1,7.0
354,11,453,13,1,10.0
355,11,453,212,1,11.0
356,11,487,212,1,7.0
357,11,516,396,1,9.0
358,11,544,623,1,9.0
359,11,545,212,1,6.0
360,11,582,501,1,7.0
361,11,616,425,1,8.0
362,11,623,273,1,9.0
363,11,623,452,1,7.0
364,11,627,75,1,7.0
365,11,627,212,1,6.0
366,12,212,627,1,8.0
367,12,212,214,1,9.0
368,12,212,255,1,8.0
369,12,212,273,1,7.0
370,12,212,276,1,6.0
371,12,212,302,1,9.0
372,12,212,308,2,17.0
373,12,212,323,1,10.0
374,12,212,349,1,9.0
375,12,212,370,1,9.0
376,12,212,585,1,9.0
377,12,214,396,1,9.0
378,12,214,212,1,7.0
379,12,238,13,1,9.0
380,12,255,382,1,7.0
381,12,255,609,1,8.0
382,12,366,396,7,70.0
383,12,366,212,5,54.0
384,12,370,164,1,7.0
385,12,396,516,1,7.0
386,12,396,528,1,8.0
387,12,396,615,1,10.0
388,12,396,563,1,8.0
389,12,396,178,1,5.0
390,12,396,302,1,9.0
391,12,396,414,1,9.0
392,12,396,495,1,8.0
393,12,453,212,1,10.0
394,12,495,70,1,7.0
395,12,501,128,1,9.0
396,12,544,13,1,7.0
397,12,623,323,1,8.0
398,12,627,286,1,11.0
399,12,627,212,1,10.0
400,13,63,286,1,8.0
401,13,70,528,1,7.0
402,13,75,301,1,9.0
403,13,145,13,1,8.0
404,13,178,54,1,6.0
405,13,212,24,1,6.0
406,13,212,545,1,9.0
407,13,212,40,1,7.0
408,13,212,598,1,7.0
409,13,212,616,1,8.0
410,13,212,627,1,10.0
411,13,212,145,1,8.0
412,13,212,273,1,8.0
413,13,212,453,1,9.0
414,13,255,212,1,7.0
415,13,302,278,1,8.0
416,13,335,447,1,7.0
417,13,366,396,2,18.0
418,13,366,212,4,34.0
419,13,382,301,1,9.0
420,13,396,528,1,8.0
421,13,396,563,1,6.0
422,13,396,598,2,18.0
423,13,396,627,2,19.0
424,13,396,124,1,8.0
425,13,396,145,2,18.0
426,13,396,160,1,9.0
427,13,396,255,1,7.0
428,13,396,453,1,8.0
429,13,495,13,1,8.0
430,13,544,396,1,6.0
431,13,616,501,1,6.0
432,13,627,75,1,8.0
433,13,627,212,1,8.0
434,14,13,24,1,10.0
435,14,13,556,1,9.0
436,14,13,273,1,10.0
437,14,24,68,1,9.0
438,14,25,212,1,4.0
439,14,54,510,1,8.0
440,14,103,396,2,20.0
441,14,212,152,1,7.0
442,14,212,160,1,5.0
443,14,212,238,1,8.0
444,14,212,255,2,14.0
445,14,212,276,1,9.0
446,14,212,345,1,8.0
447,14,212,349,1,8.0
448,14,238,278,1,8.0
449,14,255,212,1,9.0
450,14,255,623,1,7.0
451,14,255,254,1,9.0
452,14,278,484,1,7.0
453,14,326,544,1,7.0
454,14,349,212,2,15.0
455,14,366,216,1,1.0
456,14,366,396,4,35.0
457,14,366,212,4,28.0
458,14,396,516,1,7.0
459,14,396,563,1,8.0
460,14,396,145,1,11.0
461,14,396,178,1,7.0
462,14,396,238,1,7.0
463,14,396,255,1,9.0
464,14,396,370,1,8.0
465,14,516,396,1,6.0
466,14,598,212,1,9.0
467,14,598,278,1,10.0
468,15,13,627,1,10.0
469,15,24,13,1,7.0
470,15,68,330,1,8.0
471,15,160,501,1,9.0
472,15,212,512,1,9.0
473,15,212,544,1,9.0
474,15,212,38,1,8.0
475,15,212,93,1,7.0
476,15,212,627,1,7.0
477,15,212,158,1,8.0
478,15,212,370,1,10.0
479,15,212,453,1,9.0
480,15,254,275,1,6.0
481,15,254,619,1,7.0
482,15,255,384,2,15.0
483,15,255,406,1,7.0
484,15,255,560,1,10.0
485,15,255,623,1,8.0
486,15,273,384,1,8.0
487,15,276,164,1,7.0
488,15,366,396,3,27.0
489,15,366,212,2,16.0
490,15,370,212,1,9.0
491,15,396,5,1,10.0
492,15,396,24,1,10.0
493,15,396,544,1,10.0
494,15,396,563,1,7.0
495,15,396,103,1,10.0
496,15,396,627,1,8.0
497,15,396,238,1,8.0
498,15,396,255,1,8.0
499,15,396,276,1,9.0
500,15,396,308,2,13.0
501,15,412,501,1,6.0
502,15,501,214,1,8.0
503,15,501,353,1,9.0
504,15,544,70,1,10.0
505,15,619,286,1,6.0
506,15,623,4,1,6.0
507,15,623,124,1,7.0
508,15,627,286,1,6.0
509,15,627,313,1,8.0
510,16,13,255,1,7.0
511,16,13,330,1,11.0
512,16,124,623,1,6.0
513,16,212,24,1,9.0
514,16,212,544,1,8.0
515,16,212,545,1,5.0
516,16,212,622,1,9.0
517,16,212,214,1,8.0
518,16,212,255,1,10.0
519,16,212,302,1,10.0
520,16,212,345,1,8.0
521,16,212,370,1,8.0
522,16,212,405,1,9.0
523,16,212,495,1,7.0
524,16,212,505,1,10.0
525,16,214,285,1,10.0
526,16,255,278,1,10.0
527,16,276,212,2,13.0
528,16,278,519,1,8.0
529,16,285,14,1,8.0
530,16,302,335,1,10.0
531,16,302,278,1,8.0
532,16,308,396,1,7.0
533,16,308,425,1,9.0
534,16,323,425,1,11.0
535,16,323,623,1,9.0
536,16,366,396,3,29.0
537,16,366,212,2,16.0
538,16,396,5,1,6.0
539,16,396,563,1,8.0
540,16,396,627,1,8.0
541,16,396,178,1,8.0
542,16,396,276,1,8.0
543,16,396,370,1,8.0
544,16,396,414,1,8.0
545,16,453,13,1,10.0
546,16,487,212,1,7.0
547,16,501,238,1,7.0
548,16,501,255,1,8.0
549,16,528,212,1,8.0
550,16,544,425,1,6.0
551,16,545,212,1,8.0
552,16,563,212,1,5.0
553,17,24,13,1,9.0
554,17,24,609,1,8.0
555,17,212,627,2,14.0
556,17,212,145,1,9.0
557,17,212,214,3,20.0
558,17,212,255,4,30.0
559,17,212,353,1,8.0
560,17,212,374,1,8.0
561,17,212,388,1,9.0
562,17,214,212,1,9.0
563,17,255,212,1,8.0
564,17,273,212,1,8.0
565,17,276,286,1,9.0
566,17,286,544,1,6.0
567,17,308,13,1,6.0
568,17,330,555,1,6.0
569,17,366,396,3,25.0
570,17,366,212,1,7.0
571,17,384,276,1,10.0
572,17,384,255,1,6.0
573,17,396,5,1,9.0
574,17,396,519,2,19.0
575,17,396,614,1,8.0
576,17,396,619,1,6.0
577,17,396,627,1,6.0
578,17,396,158,1,9.0
579,17,396,276,4,40.0
580,17,396,414,1,8.0
581,17,396,489,1,8.0
582,17,447,560,1,9.0
583,17,519,396,1,7.0
584,17,528,285,1,8.0
585,17,609,318,1,9.0
586,17,623,14,1,10.0
587,17,623,359,1,8.0
588,17,627,13,1,9.0
589,18,5,212,1,7.0
590,18,103,396,1,8.0
591,18,212,8,1,7.0
592,18,212,14,1,8.0
593,18,212,544,1,5.0
594,18,212,558,2,14.0
595,18,212,132,1,7.0
596,18,212,232,1,9.0
597,18,212,276,1,7.0
598,18,212,302,1,6.0
599,18,212,349,1,8.0
600,18,212,378,1,6.0
601,18,214,285,1,8.0
602,18,238,285,1,8.0
603,18,255,382,2,17.0
604,18,255,13,1,6.0
605,18,275,212,1,6.0
606,18,276,13,2,21.0
607,18,276,560,1,7.0
608,18,276,254,1,8.0
609,18,285,545,1,8.0
610,18,285,331,1,9.0
611,18,301,278,1,6.0
612,18,308,501,1,7.0
613,18,366,212,1,8.0
614,18,396,516,1,10.0
615,18,396,103,1,9.0
616,18,405,212,1,8.0
617,18,495,626,1,8.0
618,18,544,13,1,6.0
619,18,627,286,1,7.0
620,18,627,560,1,8.0
621,19,5,70,1,11.0
622,19,5,623,1,12.0
623,19,13,145,1,10.0
624,19,13,276,1,9.0
625,19,14,623,1,8.0
626,19,14,212,1,8.0
627,19,145,212,1,10.0
628,19,212,558,1,8.0
629,19,212,128,1,9.0
630,19,212,145,1,7.0
631,19,212,195,1,8.0
632,19,212,563,1,8.0
633,19,276,396,1,9.0
634,19,276,286,1,7.0
635,19,276,555,1,11.0
636,19,276,70,1,9.0
637,19,276,254,1,9.0
638,19,278,283,1,7.0
639,19,330,278,1,9.0
640,19,370,212,1,8.0
641,19,382,318,1,10.0
642,19,382,627,1,8.0
643,19,396,544,1,9.0
644,19,396,255,1,8.0
645,19,396,276,1,11.0
646,19,396,453,1,7.0
647,19,425,545,1,8.0
648,19,453,623,1,10.0
649,19,501,301,1,7.0
650,19,519,212,1,8.0
651,19,545,623,1,8.0
652,19,545,501,1,7.0
653,19,545,285,1,9.0
654,19,623,93,1,8.0
655,20,5,623,1,8.0
656,20,13,385,1,7.0
657,20,14,212,1,9.0
658,20,24,54,1,7.0
659,20,145,384,1,8.0
660,20,145,560,1,6.0
661,20,145,54,1,6.0
662,20,164,145,1,7.0
663,20,178,54,1,9.0
664,20,212,14,1,6.0
665,20,212,16,1,7.0
666,20,212,528,1,7.0
667,20,212,627,1,10.0
668,20,212,128,1,8.0
669,20,212,255,2,16.0
670,20,212,276,1,8.0
671,20,212,395,1,8.0
672,20,255,396,1,9.0
673,20,255,381,1,11.0
674,20,273,212,1,8.0
675,20,276,396,1,8.0
676,20,276,278,1,9.0
677,20,276,68,1,8.0
678,20,285,632,1,7.0
679,20,308,501,1,7.0
680,20,323,623,1,9.0
681,20,366,396,1,5.0
682,20,382,24,1,9.0
683,20,384,349,1,7.0
684,20,396,160,1,10.0
685,20,396,385,1,9.0
686,20,414,212,1,9.0
687,20,453,70,1,7.0
688,20,489,212,1,8.0
689,20,501,18,1,10.0
690,20,544,501,1,9.0
691,20,558,70,1,10.0
692,20,560,361,1,7.0
693,20,560,112,1,9.0
694,20,623,370,1,8.0
695,20,627,278,1,9.0
696,21,24,70,1,7.0
697,21,54,361,1,8.0
698,21,112,278,1,6.0
699,21,212,24,1,9.0
700,21,212,145,1,9.0
701,21,212,231,1,7.0
702,21,212,238,1,8.0
703,21,278,24,1,9.0
704,21,285,395,1,8.0
705,21,285,545,1,8.0
706,21,313,627,1,6.0
707,21,361,623,1,9.0
708,21,366,396,2,16.0
709,21,366,212,1,8.0
710,21,382,63,1,7.0
711,21,396,528,1,8.0
712,21,396,158,1,7.0
713,21,396,276,2,11.0
714,21,396,308,1,7.0
715,21,495,212,1,7.0
716,21,501,38,1,7.0
717,21,544,326,1,8.0
718,21,558,286,1,10.0
719,21,560,492,1,7.0
720,21,563,396,1,10.0
721,21,623,582,1,6.0
722,22,13,255,1,8.0
723,22,24,254,1,8.0
724,22,178,54,1,8.0
725,22,212,8,2,18.0
726,22,212,619,1,9.0
727,22,212,376,1,8.0
728,22,212,412,1,9.0
729,22,255,623,1,6.0
730,22,273,396,1,7.0
731,22,278,158,1,9.0
732,22,278,225,1,10.0
733,22,278,484,1,7.0
734,22,285,616,1,8.0
735,22,301,54,1,8.0
736,22,308,326,1,8.0
737,22,308,254,1,8.0
738,22,366,396,1,7.0
739,22,366,212,1,6.0
740,22,374,623,1,7.0
741,22,381,330,1,8.0
742,22,395,212,1,7.0
743,22,396,516,1,8.0
744,22,396,38,1,8.0
745,22,396,558,1,9.0
746,22,396,273,1,7.0
747,22,396,276,3,24.0
748,22,414,212,1,8.0
749,22,623,619,1,7.0
750,22,623,323,1,8.0
751,22,627,70,1,9.0
752,23,13,255,1,7.0
753,23,13,490,1,9.0
754,23,24,54,1,8.0
755,23,70,178,1,5.0
756,23,112,278,1,8.0
757,23,132,54,1,8.0
758,23,212,627,2,18.0
759,23,212,178,1,7.0
760,23,212,255,1,8.0
761,23,214,212,1,7.0
762,23,278,330,1,7.0
763,23,326,255,1,10.0
764,23,330,560,1,9.0
765,23,349,501,1,8.0
766,23,366,396,2,14.0
767,23,366,212,1,7.0
768,23,370,623,1,10.0
769,23,396,627,1,6.0
770,23,396,158,1,7.0
771,23,396,255,1,8.0
772,23,396,370,1,6.0
773,23,623,616,1,9.0
774,23,626,302,1,8.0
775,24,5,382,1,8.0
776,24,103,212,1,8.0
777,24,103,70,1,8.0
778,24,212,25,1,10.0
779,24,212,449,1,10.0
780,24,212,494,1,8.0
781,24,231,212,1,7.0
782,24,238,425,1,6.0
783,24,255,278,1,6.0
784,24,255,555,1,8.0
785,24,255,560,1,7.0
786,24,276,396,1,6.0
787,24,278,495,1,8.0
788,24,286,374,1,5.0
789,24,308,326,1,9.0
790,24,330,555,1,7.0
791,24,366,212,2,15.0
792,24,382,22,1,8.0
793,24,382,318,1,7.0
794,24,396,103,1,7.0
795,24,396,238,1,8.0
796,24,396,495,1,7.0
797,24,453,623,1,9.0
798,24,490,278,1,9.0
799,24,492,335,1,9.0
800,24,528,396,1,8.0
801,24,560,301,1,10.0
802,24,560,330,1,8.0
803,24,623,273,1,8.0
804,24,627,70,1,8.0
805,24,627,623,2,14.0
806,25,178,396,1,6.0
807,25,212,565,1,7.0
808,25,212,255,1,10.0
809,25,238,13,1,7.0
810,25,255,278,1,9.0
811,25,278,338,1,6.0
812,25,318,602,1,10.0
813,25,366,212,2,18.0
814,25,396,563,1,9.0
815,25,396,627,3,29.0
816,25,396,255,1,7.0
817,25,396,276,1,7.0
818,25,396,302,1,6.0
819,25,396,370,1,9.0
820,25,495,13,1,10.0
821,25,555,318,1,8.0
822,25,598,278,1,7.0
823,25,623,14,1,9.0
824,26,13,255,1,10.0
825,26,13,276,1,9.0
826,26,13,495,1,10.0
827,26,24,54,1,9.0
828,26,212,545,1,6.0
829,26,212,42,1,9.0
830,26,212,614,1,9.0
831,26,212,563,1,11.0
832,26,238,286,1,8.0
833,26,238,424,1,8.0
834,26,254,124,1,6.0
835,26,278,84,1,8.0
836,26,278,330,1,7.0
837,26,366,396,1,9.0
838,26,366,212,1,8.0
839,26,396,544,1,7.0
840,26,396,276,1,10.0
841,26,560,330,1,10.0
842,26,563,396,1,7.0
843,26,565,212,1,9.0
844,26,616,286,1,8.0
845,26,623,471,1,7.0
846,27,8,212,1,10.0
847,27,13,42,1,6.0
848,27,25,212,1,6.0
849,27,54,374,1,8.0
850,27,70,361,1,7.0
851,27,124,212,2,14.0
852,27,212,627,1,8.0
853,27,212,255,1,8.0
854,27,212,302,1,9.0
855,27,212,323,1,7.0
856,27,212,370,1,9.0
857,27,212,407,1,10.0
858,27,255,70,1,8.0
859,27,255,212,2,14.0
860,27,255,623,1,6.0
861,27,276,396,1,8.0
862,27,276,70,1,7.0
863,27,278,84,1,8.0
864,27,286,370,1,7.0
865,27,302,212,1,7.0
866,27,323,623,1,8.0
867,27,326,215,1,9.0
868,27,335,492,1,9.0
869,27,366,396,1,7.0
870,27,366,212,1,7.0
871,27,370,501,1,9.0
872,27,396,574,1,8.0
873,27,396,178,1,7.0
874,27,396,238,1,7.0
875,27,545,501,1,9.0
876,27,616,212,1,7.0
877,27,623,545,1,9.0
878,27,623,255,1,6.0
879,27,627,278,1,8.0
880,27,627,212,1,9.0
881,28,24,623,1,6.0
882,28,54,627,1,7.0
883,28,145,13,1,7.0
884,28,145,54,1,9.0
885,28,212,51,1,7.0
886,28,212,487,1,9.0
887,28,254,556,1,7.0
888,28,255,384,1,8.0
889,28,255,70,1,9.0
890,28,276,560,1,7.0
891,28,318,13,1,8.0
892,28,318,535,1,8.0
893,28,338,278,1,7.0
894,28,370,212,1,10.0
895,28,396,627,1,8.0
896,28,396,276,1,8.0
897,28,424,63,1,8.0
898,28,501,405,1,6.0
899,28,544,501,1,8.0
900,28,574,623,1,7.0
901,28,602,318,1,9.0
902,28,627,70,1,9.0
903,28,627,382,1,8.0
904,29,70,24,1,9.0
905,29,70,236,1,6.0
906,29,70,405,1,8.0
907,29,212,24,1,7.0
908,29,212,214,1,10.0
909,29,212,255,1,9.0
910,29,212,374,1,7.0
911,29,212,378,1,8.0
912,29,212,405,1,9.0
913,29,212,495,1,9.0
914,29,214,285,1,8.0
915,29,255,13,1,8.0
916,29,323,623,1,8.0
917,29,361,623,1,8.0
918,29,366,396,1,9.0
919,29,396,512,1,7.0
920,29,396,5,1,10.0
921,29,396,255,1,8.0
922,29,396,276,1,11.0
923,29,405,278,1,9.0
924,29,623,276,1,10.0
925,29,627,75,1,7.0
926,30,5,623,1,10.0
927,30,54,330,1,7.0
928,30,178,278,1,8.0
929,30,212,8,1,8.0
930,30,212,585,1,10.0
931,30,255,13,1,9.0
932,30,366,212,1,9.0
933,30,370,13,1,8.0
934,30,382,619,1,10.0
935,30,396,103,1,7.0
936,30,535,318,1,8.0
937,30,545,285,1,7.0
938,30,623,528,1,10.0
939,30,623,255,1,7.0
940,30,623,494,1,7.0
941,31,13,276,1,7.0
942,31,70,5,1,9.0
943,31,103,396,1,8.0
944,31,212,273,1,9.0
945,31,214,212,1,7.0
946,31,255,54,1,9.0
947,31,278,42,1,9.0
948,31,318,278,1,6.0
949,31,366,212,1,12.0
950,31,374,623,1,8.0
951,31,396,302,1,6.0
952,31,494,623,1,8.0
953,31,495,335,1,8.0
954,31,565,212,1,8.0
955,31,623,545,1,7.0
956,31,623,453,1,7.0
957,32,13,490,1,7.0
958,32,14,212,1,7.0
959,32,70,232,1,8.0
960,32,103,212,1,9.0
