,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,5119.0,3,2
2,5206.0,12,11
3,5533.0,24,19
4,5755.0,45,38
5,5873.0,51,36
6,6062.0,59,42
7,6010.0,70,42
8,6141.0,78,44
9,6612.0,89,68
10,6749.0,93,62
11,6928.0,100,66
12,7045.0,105,76
13,7249.0,115,85
14,7500.0,120,85
15,7705.0,126,94
16,8064.0,132,105
17,8178.0,134,84
18,8475.0,136,113
19,8398.0,131,82
20,8482.0,136,97
21,8534.0,139,96
22,8546.0,137,101
23,8875.0,139,126
24,9090.0,145,123
25,9105.0,147,104
26,9354.0,151,112
27,9608.0,153,136
28,9793.0,154,132
29,10003.0,154,135
30,10275.0,158,146
31,10484.0,158,148
32,10634.0,161,137
33,10962.0,168,156
34,11377.0,171,172
35,11612.0,173,166
36,11829.0,170,160
