,num_infected,cities_infected,num_interactions
0,1000,1,0
1,1094,3,2
2,1222,7,6
3,1448,17,12
4,1576,24,12
5,1706,32,13
6,1803,41,20
7,2007,44,20
8,2191,49,23
9,2356,60,29
10,2593,69,35
11,2718,71,22
12,2998,77,41
13,3339,81,47
14,3547,85,41
15,3803,89,44
16,4110,92,53
17,4387,101,56
18,4756,104,67
19,5118,107,65
20,5626,109,75
21,6023,121,76
22,6537,125,89
23,7143,128,99
24,7530,127,87
25,8183,132,102
26,8719,135,104
27,9377,132,116
28,10162,138,134
29,11086,142,150
30,11783,151,133
31,12615,160,158
32,13776,163,179
33,15038,166,185
34,16490,170,220
35,17853,174,219
36,19614,174,255
