,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,4,27
1,0,366,212,9,50
2,1,366,396,5,34
3,1,366,212,4,28
4,2,212,173,1,7
5,2,212,276,1,7
6,2,212,505,1,5
7,2,366,396,5,37
8,2,366,212,1,6
9,2,396,345,1,7
10,2,396,495,1,6
11,3,212,279,1,6
12,3,366,396,4,27
13,3,396,276,1,7
14,3,396,308,1,6
15,4,173,212,1,6
16,4,276,384,1,6
17,4,366,396,2,14
18,4,366,212,1,5
19,4,396,276,1,8
20,5,366,396,2,11
21,5,366,212,1,6
22,5,396,627,1,6
23,5,396,302,1,7
24,6,212,395,1,6
25,7,212,544,1,5
26,7,366,396,1,4
27,7,366,212,1,6
28,7,395,623,1,6
29,8,366,396,2,11
30,9,366,396,1,7
31,10,366,396,1,7
32,11,366,396,1,7
33,11,396,627,1,5
34,12,396,516,1,8
35,15,516,396,1,7
