,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,4621.0,3,2
2,4295.0,13,12
3,3895.0,24,18
4,3477.0,35,22
5,3031.0,41,17
6,2661.0,45,17
7,2367.0,50,20
8,2114.0,53,21
9,1922.0,58,23
10,1774.0,62,26
11,1535.0,65,14
12,1355.0,63,19
13,1183.0,59,14
14,1043.0,53,14
15,890.0,52,11
16,802.0,46,14
17,699.0,44,10
18,600.0,42,9
19,503.0,38,6
20,404.0,34,3
21,338.0,30,5
22,287.0,29,5
23,252.0,26,5
24,203.0,21,2
25,168.0,17,2
26,155.0,16,4
27,148.0,17,4
28,133.0,16,3
29,115.0,15,2
30,94.0,16,1
31,110.0,19,5
32,108.0,22,4
33,75.0,19,0
34,50.0,14,0
35,34.0,11,0
36,22.0,10,0
