,num_infected,cities_infected,num_interactions
0,4000.0,1,0
1,4118.0,3,2
2,4295.0,16,16
3,4413.0,28,21
4,4715.0,44,30
5,4787.0,55,31
6,5000.0,62,38
7,5122.0,69,43
8,5259.0,78,42
9,5234.0,82,37
10,5307.0,89,44
11,5420.0,96,57
12,5521.0,97,62
13,5799.0,104,64
14,5887.0,104,73
15,6046.0,110,68
16,6183.0,117,77
17,6263.0,121,74
18,6524.0,126,96
19,6614.0,128,74
20,6677.0,129,80
21,6849.0,134,100
22,6874.0,134,77
23,7098.0,131,93
24,7103.0,139,84
25,7273.0,139,102
26,7452.0,140,105
27,7471.0,139,91
28,7613.0,141,102
29,7627.0,140,94
30,7869.0,146,121
31,7906.0,151,99
32,7979.0,156,99
33,8186.0,157,115
34,8313.0,159,109
35,8570.0,160,130
36,8716.0,162,122
