,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,2793.0,3,2
2,2668.0,16,15
3,2390.0,20,11
4,2152.0,24,10
5,1912.0,31,11
6,1657.0,37,11
7,1499.0,42,16
8,1391.0,47,19
9,1274.0,49,15
10,1156.0,55,18
11,1031.0,50,12
12,927.0,48,15
13,858.0,45,17
14,758.0,43,11
15,654.0,40,9
16,588.0,43,11
17,528.0,43,8
18,452.0,40,7
19,397.0,39,8
20,363.0,37,8
21,304.0,36,4
22,268.0,33,6
23,241.0,30,5
24,221.0,29,5
25,179.0,28,2
26,147.0,27,3
27,142.0,26,5
28,102.0,21,0
29,81.0,20,1
30,69.0,18,2
31,44.0,13,0
32,28.0,9,0
33,26.0,7,1
34,25.0,8,1
35,22.0,7,1
36,20.0,5,1
