,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,23,273.0
1,0,366,212,30,323.0
2,1,212,544,2,21.0
3,1,212,63,1,11.0
4,1,212,614,1,9.0
5,1,366,396,35,379.0
6,1,366,212,21,301.0
7,1,396,519,1,9.0
8,1,396,38,1,8.0
9,1,396,563,1,12.0
10,1,396,93,1,9.0
11,1,396,619,1,8.0
12,1,396,627,2,20.0
13,1,396,145,2,20.0
14,1,396,255,2,16.0
15,1,396,276,2,26.0
16,1,396,370,1,10.0
17,1,396,453,1,12.0
18,2,212,519,2,19.0
19,2,212,627,1,14.0
20,2,212,124,1,6.0
21,2,212,158,1,9.0
22,2,212,214,2,24.0
23,2,212,255,2,23.0
24,2,212,370,1,9.0
25,2,212,405,1,12.0
26,2,276,623,1,9.0
27,2,366,396,32,289.0
28,2,366,212,26,226.0
29,2,370,70,1,9.0
30,2,396,5,1,9.0
31,2,396,531,1,9.0
32,2,396,544,1,9.0
33,2,396,38,2,19.0
34,2,396,598,1,13.0
35,2,396,93,1,13.0
36,2,396,616,1,10.0
37,2,396,619,1,9.0
38,2,396,627,1,10.0
39,2,396,145,1,12.0
40,2,396,158,1,9.0
41,2,396,178,1,12.0
42,2,396,238,1,12.0
43,2,396,276,3,29.0
44,2,519,278,1,10.0
45,2,544,13,1,9.0
46,3,38,501,1,11.0
47,3,178,70,1,10.0
48,3,212,531,1,12.0
49,3,212,25,1,10.0
50,3,212,606,1,9.0
51,3,212,619,1,11.0
52,3,212,622,1,11.0
53,3,212,117,1,9.0
54,3,212,124,1,8.0
55,3,212,163,1,10.0
56,3,212,232,1,10.0
57,3,212,273,2,17.0
58,3,212,412,1,10.0
59,3,212,585,1,9.0
60,3,214,623,1,10.0
61,3,255,560,1,9.0
62,3,276,278,1,10.0
63,3,276,54,1,11.0
64,3,278,24,1,11.0
65,3,366,396,31,313.0
66,3,366,212,38,399.0
67,3,396,512,2,19.0
68,3,396,516,1,13.0
69,3,396,519,1,13.0
70,3,396,558,1,10.0
71,3,396,563,3,28.0
72,3,396,627,1,6.0
73,3,396,145,2,18.0
74,3,396,160,1,9.0
75,3,396,255,5,65.0
76,3,396,276,1,9.0
77,3,396,495,1,10.0
78,3,519,13,1,8.0
79,3,614,335,1,8.0
80,3,619,254,1,10.0
81,4,38,501,1,12.0
82,4,145,278,2,22.0
83,4,212,519,1,13.0
84,4,212,8,1,10.0
85,4,212,12,1,12.0
86,4,212,16,1,10.0
87,4,212,76,1,8.0
88,4,212,598,3,30.0
