,num_infected,cities_infected,num_interactions
0,2000,1,0
1,1967,3,2
2,1939,9,8
3,1897,22,18
4,1820,28,14
5,1792,33,12
6,1751,45,23
7,1603,48,10
8,1512,54,16
9,1518,59,21
10,1421,60,18
11,1311,62,13
12,1268,60,18
13,1209,61,21
14,1124,63,18
15,1082,60,17
16,1017,54,15
17,966,55,14
18,947,57,19
19,863,57,12
20,776,54,9
21,755,55,16
22,698,55,12
23,711,52,19
24,666,52,11
25,586,50,6
26,513,47,5
27,461,47,6
28,417,41,7
29,366,37,4
30,342,35,7
31,322,34,6
32,286,35,4
33,247,33,3
34,210,31,2
35,205,32,5
36,156,27,0
