,num_infected,cities_infected,num_interactions
0,3000,1,0
1,2881,3,2
2,2763,9,9
3,2766,21,16
4,2656,28,14
5,2560,31,16
6,2462,36,18
7,2317,43,19
8,2261,42,23
9,2131,46,17
10,1997,49,20
11,1947,51,22
12,1868,59,26
13,1826,62,30
14,1642,63,15
15,1543,63,19
16,1442,64,21
17,1405,72,26
18,1367,73,29
19,1321,70,24
20,1262,70,21
21,1246,69,24
22,1166,68,18
23,1155,71,24
24,1084,71,18
25,1000,72,13
26,954,74,19
27,921,74,17
28,847,68,14
29,780,69,14
30,723,63,13
31,638,58,7
32,587,51,9
33,531,49,7
34,493,43,9
35,475,44,10
36,418,39,5
