,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,27,206
1,0,366,212,27,215
2,1,212,255,1,8
3,1,212,405,1,6
4,1,366,396,17,136
5,1,366,212,28,246
6,1,396,512,1,6
7,1,396,519,1,7
8,1,396,615,1,6
9,1,396,178,1,9
10,1,396,214,1,9
11,1,396,238,1,8
12,1,396,276,1,8
13,2,178,560,1,8
14,2,212,14,1,5
15,2,212,214,1,7
16,2,212,238,1,8
17,2,212,255,1,8
18,2,212,308,1,7
19,2,212,405,1,7
20,2,212,407,1,8
21,2,212,495,1,9
22,2,238,88,1,6
23,2,366,396,16,96
24,2,366,212,20,136
25,2,396,519,2,16
26,2,396,627,1,5
27,2,396,158,1,5
28,2,396,255,3,25
29,2,396,276,2,18
30,2,519,13,1,5
31,2,519,212,2,14
32,2,519,278,1,6
33,2,615,396,1,7
34,3,212,158,1,7
35,3,212,453,1,7
36,3,212,472,1,8
37,3,212,489,1,6
38,3,214,501,1,6
39,3,276,286,1,7
40,3,366,396,11,81
41,3,366,212,11,87
42,3,396,531,1,10
43,3,396,38,1,7
44,3,396,145,2,10
45,3,396,152,1,8
46,3,396,255,1,6
47,4,212,544,1,7
48,4,212,40,1,7
49,4,212,63,1,6
50,4,366,396,11,95
51,4,366,212,11,89
52,4,396,516,1,7
53,4,396,619,1,7
54,4,396,276,1,7
55,4,501,545,1,6
56,4,531,212,1,8
57,5,158,623,1,6
58,5,212,545,2,13
59,5,212,627,1,6
60,5,212,255,1,8
61,5,212,563,1,7
62,5,212,341,1,6
63,5,212,585,1,7
64,5,366,396,8,57
65,5,366,212,5,39
66,5,396,519,1,9
67,5,396,616,1,6
68,5,396,619,1,5
69,5,453,326,1,7
70,5,519,13,1,7
71,6,158,54,1,7
72,6,212,24,1,5
73,6,212,374,1,8
74,6,212,412,1,8
75,6,366,396,6,42
76,6,366,212,4,37
77,6,396,516,1,6
78,6,396,558,1,7
79,6,396,453,1,5
80,6,396,495,2,13
81,7,212,627,1,6
82,7,212,255,3,24
83,7,212,412,1,8
84,7,255,501,1,8
85,7,366,396,5,29
86,7,366,212,3,22
87,7,396,619,1,6
88,7,396,160,2,16
89,7,396,414,1,7
90,7,396,489,1,7
91,7,412,212,1,8
92,7,495,278,1,9
93,8,212,8,1,8
94,8,212,63,1,8
95,8,212,405,1,6
96,8,278,112,1,9
97,8,366,396,4,23
98,8,366,212,3,25
99,8,489,396,1,6
100,8,616,254,1,7
101,9,152,54,1,8
102,9,212,76,1,6
103,9,212,158,1,9
104,9,212,178,1,5
105,9,212,238,1,8
106,9,212,449,1,8
107,9,212,453,1,7
108,9,255,278,1,6
109,9,366,396,1,7
110,9,366,212,3,23
111,9,396,619,1,7
112,9,585,396,1,5
113,9,619,13,1,8
114,10,63,254,1,7
115,10,158,623,1,7
116,10,212,585,1,8
117,10,366,396,3,22
118,10,396,516,1,8
119,10,396,5,1,6
120,10,396,519,1,7
121,10,396,103,1,5
122,10,396,414,1,8
123,11,212,255,1,8
124,11,212,370,1,8
125,11,366,396,2,14
126,11,396,519,1,7
127,12,212,627,1,8
128,12,212,214,1,7
129,12,255,560,1,7
130,12,366,396,1,7
131,12,396,238,1,8
132,12,449,212,1,7
133,12,519,13,1,6
134,13,396,103,1,6
135,13,396,627,1,7
136,13,396,238,1,7
137,13,560,238,1,7
138,14,212,580,1,8
139,14,212,152,1,5
140,14,212,505,1,8
141,14,366,396,2,16
142,15,212,453,1,8
143,15,396,627,1,9
144,15,505,70,1,8
145,16,212,405,1,6
146,16,255,396,1,5
147,17,396,276,1,9
148,17,453,212,1,5
149,18,212,627,1,6
150,18,255,70,1,5
151,18,366,396,1,8
152,18,396,558,1,6
153,18,396,276,1,7
154,18,405,501,1,6
155,19,70,495,1,6
156,19,212,627,1,6
157,19,366,396,1,6
158,20,366,396,1,8
159,20,627,396,1,7
160,20,627,278,1,7
161,21,70,528,1,7
162,21,212,255,1,7
