,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,6178.0,3,2
2,7745.0,23,23
3,9582.0,46,38
4,11465.0,62,45
5,14240.0,85,81
6,17333.0,92,93
7,21016.0,105,115
8,25549.0,118,153
9,31387.0,130,187
10,37976.0,140,240
11,46545.0,153,277
12,57260.0,169,357
13,69520.0,180,410
14,84792.0,196,496
15,103120.0,207,598
16,125610.0,223,660
17,152881.0,240,788
18,185518.0,255,879
19,226508.0,273,996
20,276237.0,286,1150
21,337163.0,296,1240
22,410779.0,312,1354
23,502295.0,320,1456
24,612715.0,331,1569
25,745592.0,338,1700
26,909628.0,343,1754
27,1108289.0,349,1889
28,1352288.0,358,1994
29,1652060.0,367,2089
30,2013633.0,375,2162
31,2469596.0,386,2272
32,3015607.0,395,2365
33,3687876.0,404,2452
34,4508999.0,415,2500
35,5506709.0,429,2588
36,6728466.0,437,2676
