,num_infected,cities_infected,num_interactions
0,4000.0,1,0
1,4762.0,3,2
2,5887.0,10,9
3,6982.0,26,21
4,8445.0,37,27
5,10022.0,58,45
6,12219.0,73,54
7,14639.0,88,78
8,18084.0,98,99
9,21887.0,111,132
10,26609.0,120,163
11,32303.0,137,200
12,39275.0,152,260
13,48089.0,162,329
14,59162.0,174,372
15,72078.0,185,426
16,87574.0,194,506
17,106159.0,207,633
18,129095.0,227,707
19,157808.0,238,806
20,192324.0,247,885
21,234985.0,260,1050
22,287920.0,270,1151
23,350252.0,289,1248
24,426228.0,297,1359
25,519642.0,307,1476
26,634662.0,318,1574
27,774192.0,324,1702
28,945598.0,338,1807
29,1156551.0,350,1917
30,1411946.0,357,1970
31,1723532.0,369,2127
32,2103938.0,376,2186
33,2577679.0,383,2275
34,3148711.0,391,2337
35,3851739.0,397,2478
36,4709717.0,408,2544
