,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,6,46
1,0,366,212,5,34
2,1,212,627,1,8
3,1,212,255,1,6
4,1,366,396,3,18
5,1,366,212,4,37
6,1,396,276,1,8
7,2,255,13,1,6
8,2,366,396,5,28
9,2,366,212,4,25
10,2,627,164,1,8
11,2,627,382,1,7
12,3,212,495,1,8
13,3,255,278,1,8
14,3,366,396,1,7
15,3,366,212,4,26
16,4,13,619,1,6
17,4,164,84,1,6
18,4,212,544,1,7
19,4,366,396,1,6
20,4,366,212,1,8
21,5,366,396,2,11
22,5,366,212,2,14
23,6,366,212,1,6
24,7,366,212,1,9
25,8,212,14,1,7
26,8,212,558,1,6
27,8,278,255,1,7
28,8,366,396,1,7
29,10,366,396,1,8
30,11,366,212,1,4
31,14,366,396,1,6
