,num_infected,cities_infected,num_interactions
0,2000.0,1,0
1,2137.0,3,2
2,2422.0,7,6
3,2564.0,12,8
4,2867.0,28,21
5,3223.0,38,20
6,3533.0,52,33
7,3848.0,66,39
8,4056.0,74,28
9,4270.0,81,35
10,4655.0,83,43
11,4905.0,84,42
12,5248.0,93,44
13,5626.0,103,54
14,6119.0,106,66
15,6654.0,106,73
16,7210.0,115,86
17,7890.0,116,87
18,8809.0,128,118
19,9550.0,132,120
20,10452.0,136,125
21,11183.0,138,131
22,12032.0,143,136
23,13097.0,153,159
24,14144.0,155,161
25,15371.0,158,187
26,16967.0,163,218
27,18336.0,168,211
28,19969.0,176,241
29,21865.0,179,266
30,23679.0,187,273
31,25505.0,190,271
32,27788.0,194,308
33,30397.0,201,353
34,32973.0,210,351
35,36160.0,221,400
36,39089.0,221,409
