,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,3515.0,3,2
2,4304.0,11,10
3,5100.0,19,11
4,6140.0,36,26
5,7621.0,51,43
6,9093.0,63,52
7,10798.0,74,57
8,13155.0,86,77
9,15857.0,98,103
10,19306.0,114,140
11,23291.0,126,156
12,28248.0,139,206
13,34015.0,150,213
14,41420.0,161,299
15,50611.0,176,342
16,61122.0,187,414
17,74602.0,197,490
18,90206.0,207,540
19,110196.0,225,677
20,134406.0,236,754
21,164974.0,250,867
22,201937.0,266,967
23,245114.0,279,1086
24,298380.0,293,1205
25,364843.0,304,1336
26,444020.0,313,1436
27,543195.0,323,1543
28,665510.0,335,1678
29,811967.0,340,1727
30,990037.0,346,1837
31,1209453.0,352,1974
32,1477543.0,362,2028
33,1805778.0,373,2136
34,2207352.0,384,2205
35,2701709.0,388,2339
36,3301157.0,397,2380
