,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,37,206.0
1,0,366,212,27,201.0
2,1,212,232,1,6.0
3,1,212,255,1,6.0
4,1,366,396,19,149.0
5,1,366,212,28,183.0
6,1,366,501,1,2.0
7,1,396,103,1,5.0
8,2,103,396,1,6.0
9,2,212,544,1,5.0
10,2,212,565,1,6.0
11,2,212,627,1,6.0
12,2,212,442,1,7.0
13,2,232,501,1,6.0
14,2,366,396,11,46.0
15,2,366,212,15,79.0
16,2,396,8,1,6.0
17,2,396,544,1,5.0
18,2,396,145,1,4.0
19,2,396,276,1,7.0
20,3,212,215,1,7.0
21,3,212,349,1,5.0
22,3,366,396,10,68.0
23,3,366,212,5,28.0
24,3,396,619,1,5.0
25,3,396,627,1,6.0
26,3,396,255,1,6.0
27,3,396,276,3,16.0
28,3,396,370,1,6.0
29,4,212,622,1,5.0
30,4,212,349,1,5.0
31,4,255,13,1,5.0
32,4,276,164,1,6.0
33,4,366,396,4,18.0
34,4,366,212,6,37.0
35,4,396,255,1,6.0
36,5,212,627,1,5.0
37,5,212,227,1,6.0
38,5,212,378,1,6.0
39,5,212,412,1,8.0
40,5,366,396,3,16.0
41,5,366,212,3,19.0
42,5,396,124,1,6.0
43,5,396,152,1,6.0
44,6,124,286,1,6.0
45,6,212,528,1,5.0
46,6,212,494,1,5.0
47,6,366,212,4,27.0
48,6,396,103,1,5.0
49,6,396,627,1,5.0
50,7,212,349,1,5.0
51,7,212,388,1,6.0
52,7,255,560,1,5.0
53,7,349,212,1,6.0
54,7,396,276,1,7.0
55,8,212,255,1,5.0
56,8,212,495,1,6.0
57,8,276,212,1,7.0
58,8,366,396,1,6.0
59,9,396,255,1,4.0
60,10,212,619,1,4.0
