,num_infected,cities_infected,num_interactions
0,4000.0,1,0
1,4069.0,3,2
2,4281.0,20,22
3,4329.0,29,17
4,4529.0,41,30
5,4776.0,50,33
6,5051.0,61,37
7,5048.0,72,41
8,5353.0,79,66
9,5544.0,84,58
10,5738.0,92,61
11,5792.0,98,59
12,5970.0,104,74
13,6230.0,109,82
14,6547.0,115,88
15,6660.0,130,79
16,6708.0,134,79
17,6948.0,140,94
18,7180.0,140,101
19,7324.0,141,88
20,7512.0,146,99
21,7758.0,148,115
22,7701.0,141,86
23,7818.0,141,106
24,7878.0,147,105
25,8140.0,148,122
26,8491.0,147,130
27,8609.0,151,125
28,8611.0,158,97
29,8836.0,159,133
30,9009.0,167,122
31,9111.0,168,116
32,9506.0,172,152
33,9678.0,176,129
34,9785.0,177,128
35,9912.0,174,130
36,10072.0,176,133
