,num_infected,cities_infected,num_interactions
0,4000.0,1,0
1,4344.0,3,2
2,5077.0,16,16
3,5625.0,30,25
4,6132.0,45,33
5,6663.0,59,43
6,7217.0,69,49
7,7598.0,83,55
8,8204.0,92,62
9,8871.0,100,73
10,9658.0,112,92
11,10354.0,116,81
12,11191.0,117,113
13,12101.0,121,120
14,13034.0,128,120
15,13899.0,138,135
16,15299.0,144,163
17,16458.0,148,161
18,17776.0,151,196
19,19291.0,160,217
20,21003.0,168,221
21,23280.0,173,267
22,25348.0,178,277
23,27473.0,181,277
24,29549.0,186,270
25,32083.0,188,314
26,34752.0,199,345
27,38149.0,205,406
28,41468.0,208,422
29,45163.0,219,430
30,49174.0,225,489
31,53749.0,227,532
32,58832.0,230,568
33,64129.0,232,585
34,69672.0,239,608
35,75847.0,244,672
36,82751.0,252,698
