,num_infected,cities_infected,num_interactions
0,4000,1,0
1,3767,3,2
2,3698,12,11
3,3610,21,14
4,3454,30,18
5,3308,41,19
6,3137,51,21
7,2993,55,24
8,2892,60,28
9,2724,66,25
10,2661,68,29
11,2550,71,32
12,2404,69,28
13,2338,71,36
14,2194,71,26
15,2140,70,36
16,1967,70,22
17,1821,71,23
18,1787,77,36
19,1749,74,30
20,1574,72,15
21,1458,72,19
22,1394,78,26
23,1311,76,21
24,1218,74,20
25,1114,69,16
26,1075,69,19
27,981,68,13
28,897,62,12
29,853,55,14
30,776,57,11
31,705,57,10
32,687,55,15
33,633,54,10
34,590,55,11
35,567,57,12
36,494,53,6
