,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,4296.0,4,3
2,3559.0,10,10
3,3028.0,24,18
4,2548.0,34,18
5,2247.0,41,18
6,1914.0,47,22
7,1603.0,49,15
8,1359.0,52,13
9,1146.0,53,23
10,940.0,51,13
11,807.0,49,15
12,691.0,45,14
13,540.0,41,4
14,444.0,37,9
15,407.0,39,12
16,355.0,36,9
17,310.0,34,7
18,250.0,30,5
19,196.0,29,3
20,161.0,27,4
21,136.0,25,4
22,103.0,23,2
23,67.0,16,0
24,45.0,13,0
25,44.0,14,2
26,26.0,9,0
27,14.0,4,0
28,17.0,4,1
29,17.0,4,1
30,11.0,3,0
31,7.0,2,0
32,5.0,2,0
33,3.0,2,0
34,1.0,1,0
35,0.0,0,0
36,0.0,0,0
