,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,5506.0,3,2
2,5948.0,13,14
3,6337.0,22,22
4,6829.0,37,30
5,7515.0,51,42
6,8269.0,61,56
7,9140.0,79,70
8,9965.0,89,68
9,10859.0,96,87
10,11857.0,106,91
11,12907.0,115,105
12,14124.0,125,122
13,15582.0,133,149
14,17255.0,141,175
15,18675.0,146,178
16,20561.0,153,225
17,22381.0,159,211
18,24539.0,161,235
19,26736.0,167,254
20,28981.0,174,288
21,31578.0,182,332
22,34180.0,189,336
23,37007.0,196,353
24,39943.0,201,371
25,43661.0,210,435
26,47971.0,221,465
27,52476.0,226,505
28,57191.0,229,511
29,62432.0,238,555
30,67827.0,247,594
31,74731.0,251,651
32,81407.0,255,693
33,88859.0,256,720
34,96636.0,262,728
35,105753.0,270,791
36,115661.0,276,850
