,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,35,230.0
1,0,366,212,31,200.0
2,0,366,501,1,2.0
3,1,212,255,1,6.0
4,1,366,396,21,121.0
5,1,366,212,20,103.0
6,1,396,563,1,7.0
7,1,396,598,1,6.0
8,1,396,103,1,6.0
9,1,396,145,1,6.0
10,1,396,158,1,6.0
11,1,396,276,1,6.0
12,1,396,495,1,6.0
13,2,212,20,1,6.0
14,2,366,396,14,95.0
15,2,366,212,10,53.0
16,2,396,5,1,5.0
17,2,396,158,2,16.0
18,2,495,141,1,6.0
19,3,212,627,1,5.0
20,3,212,414,1,6.0
21,3,366,396,6,38.0
22,3,366,212,11,74.0
23,3,396,614,1,6.0
24,3,396,158,1,5.0
25,4,212,8,1,6.0
26,4,212,63,1,7.0
27,4,212,214,1,6.0
28,4,212,359,1,5.0
29,4,212,505,1,6.0
30,4,366,212,6,42.0
31,4,396,614,1,6.0
32,4,396,178,1,6.0
33,4,396,214,1,7.0
34,4,396,495,1,5.0
35,4,495,501,1,6.0
36,4,614,54,1,5.0
37,5,212,255,1,7.0
38,5,366,396,3,14.0
39,5,366,212,4,18.0
40,5,396,614,1,4.0
41,5,396,627,1,5.0
42,5,396,158,1,7.0
43,5,396,414,1,6.0
44,6,212,238,1,5.0
45,6,212,255,1,5.0
46,6,212,273,1,6.0
47,6,212,585,1,8.0
48,6,212,495,1,5.0
49,6,366,396,1,6.0
50,6,366,212,1,6.0
51,6,396,255,1,6.0
52,6,414,212,1,7.0
53,7,212,405,1,6.0
54,7,366,212,1,6.0
55,8,366,212,2,18.0
56,8,396,255,1,7.0
57,9,212,598,1,6.0
58,9,212,627,1,6.0
59,10,212,103,1,5.0
60,11,103,70,1,4.0
61,11,212,494,1,7.0
62,12,212,38,1,4.0
63,12,366,396,1,6.0
64,13,366,212,1,6.0
65,13,494,623,1,5.0
66,14,212,563,1,6.0
67,14,366,212,1,6.0
68,14,396,145,1,7.0
69,15,145,212,1,7.0
70,15,212,255,1,5.0
71,17,145,424,1,6.0
72,19,212,505,1,7.0
