,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,26,138.0
1,0,366,212,26,162.0
2,1,212,24,1,7.0
3,1,212,255,1,4.0
4,1,212,345,1,7.0
5,1,212,370,1,6.0
6,1,212,505,1,5.0
7,1,366,396,25,160.0
8,1,366,212,29,198.0
9,1,366,501,1,2.0
10,1,396,544,2,16.0
11,1,396,178,2,14.0
12,2,212,531,1,6.0
13,2,212,558,1,6.0
14,2,212,582,1,8.0
15,2,212,238,1,7.0
16,2,366,396,16,151.0
17,2,366,212,21,144.0
18,2,396,627,1,4.0
19,2,396,255,2,14.0
20,2,396,302,1,6.0
21,2,544,212,1,4.0
22,2,544,501,1,6.0
23,3,212,512,1,6.0
24,3,212,14,1,7.0
25,3,212,20,1,7.0
26,3,212,545,1,5.0
27,3,212,619,1,7.0
28,3,212,627,1,5.0
29,3,212,449,1,5.0
30,3,366,396,9,58.0
31,3,366,212,10,44.0
32,3,396,160,1,4.0
33,3,396,238,1,6.0
34,3,396,276,1,5.0
35,3,396,370,1,6.0
36,3,501,124,1,6.0
37,4,212,5,1,5.0
38,4,212,519,1,5.0
39,4,212,24,1,6.0
40,4,212,255,2,14.0
41,4,212,279,1,4.0
42,4,212,412,1,5.0
43,4,212,585,2,12.0
44,4,238,286,1,7.0
45,4,366,396,6,31.0
46,4,366,212,5,32.0
47,4,396,544,1,5.0
48,4,396,38,1,6.0
49,4,396,103,1,4.0
50,4,396,214,1,7.0
51,4,396,276,2,11.0
52,4,531,212,1,6.0
53,5,212,214,2,16.0
54,5,212,215,1,4.0
55,5,212,585,1,6.0
56,5,255,623,1,6.0
57,5,286,544,1,6.0
58,5,366,396,6,37.0
59,5,366,212,4,19.0
60,5,396,276,1,6.0
61,5,396,370,1,6.0
62,5,585,212,1,5.0
63,6,38,13,1,6.0
64,6,212,273,1,6.0
65,6,214,501,1,5.0
66,6,366,396,1,5.0
67,6,366,212,2,12.0
68,6,585,623,1,7.0
69,7,212,255,1,7.0
70,7,366,212,1,7.0
71,8,212,616,1,6.0
72,8,212,279,1,4.0
73,8,366,396,1,5.0
74,8,366,212,1,5.0
75,9,366,396,2,14.0
76,9,366,212,1,5.0
77,9,396,519,1,5.0
78,9,396,255,1,6.0
79,9,585,212,1,4.0
80,9,616,212,1,7.0
81,10,212,255,1,6.0
82,10,212,563,1,7.0
83,10,366,212,2,12.0
84,11,366,212,1,5.0
85,12,366,396,1,5.0
