,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,3978.0,4,3
2,3139.0,14,12
3,2533.0,21,16
4,2029.0,28,17
5,1624.0,37,17
6,1275.0,43,15
7,993.0,45,13
8,729.0,42,8
9,556.0,37,6
10,450.0,24,7
11,345.0,22,6
12,267.0,19,4
13,175.0,16,0
14,126.0,11,2
15,89.0,9,1
16,67.0,6,2
17,50.0,7,1
18,49.0,9,3
19,29.0,8,0
20,28.0,9,2
21,15.0,8,0
22,11.0,4,1
23,6.0,3,0
24,2.0,1,0
25,1.0,1,0
26,0.0,0,0
27,0.0,0,0
28,0.0,0,0
29,0.0,0,0
30,0.0,0,0
31,0.0,0,0
32,0.0,0,0
33,0.0,0,0
34,0.0,0,0
35,0.0,0,0
36,0.0,0,0
