,num_infected,cities_infected,num_interactions
0,2000,1,0
1,2044,3,2
2,2184,9,8
3,2209,21,15
4,2297,28,11
5,2344,38,18
6,2406,47,24
7,2531,52,22
8,2565,59,25
9,2633,64,29
10,2599,66,22
11,2699,70,36
12,2772,76,36
13,2848,80,28
14,2960,80,37
15,2943,83,29
16,2967,84,43
17,3012,91,43
18,3009,95,39
19,3007,96,39
20,2946,101,34
21,2946,101,41
22,2947,105,38
23,2939,105,39
24,2938,105,39
25,2916,103,37
26,2977,103,51
27,3023,106,45
28,3032,103,44
29,3168,107,57
30,3223,112,47
31,3229,110,48
32,3279,115,50
33,3390,115,59
34,3433,112,53
35,3404,111,46
36,3392,113,44
