,num_infected,cities_infected,num_interactions
0,2000.0,1,0
1,2229.0,3,2
2,2448.0,11,10
3,2683.0,22,17
4,2914.0,29,18
5,3010.0,35,11
6,3232.0,43,19
7,3624.0,60,39
8,3892.0,66,30
9,4230.0,76,46
10,4555.0,80,42
11,4897.0,85,51
12,5466.0,91,51
13,5820.0,91,51
14,6295.0,98,68
15,6695.0,106,71
16,7316.0,110,89
17,7911.0,116,80
18,8668.0,119,94
19,9415.0,123,114
20,10123.0,124,118
21,11165.0,131,136
22,12087.0,138,134
23,13012.0,141,148
24,13950.0,147,149
25,15044.0,152,174
26,16195.0,158,185
27,17427.0,165,206
28,18900.0,178,215
29,20741.0,180,259
30,22511.0,190,265
31,24358.0,195,270
32,26607.0,197,305
33,28720.0,201,299
34,31216.0,203,326
35,34226.0,208,374
36,36883.0,211,380
