,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,3650.0,3,2
2,4401.0,13,12
3,5187.0,18,11
4,6434.0,32,27
5,7827.0,49,42
6,9432.0,66,58
7,11388.0,75,56
8,14006.0,92,96
9,16688.0,106,107
10,20549.0,117,141
11,25220.0,128,171
12,30951.0,139,219
13,37382.0,151,250
14,45137.0,161,301
15,55099.0,173,378
16,67233.0,191,441
17,81853.0,207,529
18,99571.0,221,588
19,121335.0,231,679
20,147238.0,244,807
21,178924.0,255,889
22,218183.0,269,1033
23,264737.0,282,1112
24,322544.0,291,1227
25,393934.0,302,1380
26,481154.0,314,1490
27,585043.0,328,1548
28,715281.0,335,1692
29,874665.0,341,1766
30,1068510.0,348,1893
31,1305001.0,358,1966
32,1594581.0,366,2089
33,1948794.0,374,2170
34,2383636.0,385,2285
35,2909899.0,392,2347
36,3564138.0,398,2417
