,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,5,30
1,0,366,212,4,25
2,1,366,396,9,40
3,1,366,212,2,14
4,1,396,24,1,6
5,1,396,619,1,6
6,2,366,396,1,5
7,2,366,212,4,21
8,2,396,598,1,6
9,3,24,623,1,5
10,3,366,396,3,20
11,3,366,212,1,6
12,3,396,512,1,6
13,3,396,33,1,4
14,3,396,255,1,5
15,3,598,212,1,6
16,4,33,396,1,7
17,4,212,627,1,5
18,4,366,396,2,14
19,5,366,212,1,5
20,6,366,396,1,6
21,7,627,13,1,6
22,8,396,276,1,5
23,9,366,212,1,4
24,10,13,556,1,4
25,10,396,512,1,5
