,num_infected,cities_infected,num_interactions
0,2000.0,1,0
1,2061.0,3,2
2,2116.0,11,10
3,2161.0,17,10
4,2158.0,25,17
5,2173.0,30,13
6,2218.0,37,19
7,2392.0,44,28
8,2452.0,54,23
9,2487.0,62,29
10,2503.0,68,28
11,2551.0,74,27
12,2817.0,82,43
13,2851.0,84,34
14,2885.0,87,38
15,2941.0,93,37
16,3094.0,89,49
17,3157.0,95,40
18,3200.0,93,40
19,3193.0,97,37
20,3177.0,98,41
21,3181.0,103,43
22,3395.0,108,66
23,3497.0,110,58
24,3469.0,112,43
25,3386.0,109,35
26,3488.0,111,60
27,3492.0,114,48
28,3528.0,116,51
29,3544.0,116,51
30,3659.0,116,59
31,3744.0,118,55
32,3856.0,121,64
33,3975.0,121,65
34,4125.0,124,74
35,4255.0,128,68
36,4314.0,128,66
