,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,3181.0,3,2
2,3422.0,10,9
3,3709.0,20,16
4,4046.0,32,21
5,4406.0,39,18
6,4771.0,54,36
7,5164.0,66,37
8,5442.0,73,37
9,5826.0,80,40
10,6317.0,88,56
11,6800.0,93,64
12,7477.0,99,71
13,8177.0,109,87
14,8792.0,113,82
15,9670.0,120,110
16,10451.0,127,105
17,11231.0,133,116
18,12142.0,143,134
19,13420.0,147,159
20,14234.0,151,147
21,15586.0,156,183
22,17194.0,159,202
23,18910.0,167,220
24,20632.0,171,229
25,22402.0,174,240
26,24567.0,185,292
27,26731.0,193,285
28,28950.0,194,309
29,31756.0,198,358
30,34768.0,200,368
31,37939.0,203,403
32,40969.0,208,397
33,44609.0,211,443
34,48615.0,214,488
35,52941.0,222,527
36,57490.0,226,571
