,num_infected,cities_infected,num_interactions
0,4000.0,1,0
1,4849.0,3,2
2,5930.0,15,16
3,7226.0,27,21
4,8740.0,41,33
5,10449.0,57,47
6,12652.0,74,63
7,15463.0,88,89
8,18688.0,103,109
9,22636.0,126,151
10,27693.0,134,173
11,33545.0,143,233
12,41522.0,160,295
13,50303.0,180,326
14,61150.0,189,372
15,73992.0,203,457
16,90347.0,214,532
17,109985.0,227,656
18,133471.0,238,742
19,161775.0,250,799
20,197650.0,260,970
21,241499.0,271,1061
22,295032.0,290,1157
23,360277.0,302,1293
24,439322.0,312,1409
25,535209.0,320,1522
26,653123.0,327,1615
27,798303.0,338,1751
28,975268.0,351,1844
29,1192809.0,359,1907
30,1456431.0,368,2032
31,1778552.0,373,2138
32,2173165.0,383,2206
33,2656145.0,395,2289
34,3247110.0,403,2359
35,3961299.0,412,2439
36,4847792.0,419,2517
