,num_infected,cities_infected,num_interactions
0,4000.0,1,0
1,4942.0,4,3
2,5969.0,17,17
3,7249.0,27,21
4,8636.0,41,34
5,10764.0,59,48
6,13215.0,78,70
7,15896.0,99,96
8,19670.0,106,118
9,23829.0,124,165
10,29155.0,136,184
11,35348.0,142,210
12,43404.0,152,293
13,52640.0,167,329
14,64097.0,177,396
15,78273.0,186,505
16,96441.0,211,599
17,116797.0,220,659
18,142641.0,231,768
19,173991.0,243,879
20,212328.0,260,994
21,258199.0,278,1075
22,314641.0,295,1206
23,383435.0,308,1315
24,467892.0,318,1440
25,570199.0,325,1532
26,695151.0,337,1677
27,851951.0,340,1758
28,1038314.0,346,1863
29,1271374.0,353,1947
30,1551176.0,358,2045
31,1897765.0,363,2134
32,2319045.0,377,2212
33,2835081.0,384,2299
34,3458354.0,390,2403
35,4221439.0,403,2500
36,5160389.0,423,2573
