,num_infected,cities_infected,num_interactions
0,1000.0,1,0
1,1167.0,3,2
2,1430.0,8,7
3,1829.0,15,11
4,2245.0,22,13
5,2930.0,42,28
6,3467.0,47,23
7,4150.0,52,26
8,5022.0,61,33
9,6228.0,75,59
10,7642.0,86,74
11,9408.0,96,79
12,11309.0,104,96
13,13722.0,118,124
14,16547.0,130,152
15,20344.0,139,180
16,24886.0,155,230
17,29819.0,167,240
18,36241.0,177,316
19,44922.0,186,400
20,54671.0,196,433
21,66170.0,210,509
22,79887.0,220,584
23,97322.0,229,679
24,119013.0,240,781
25,145724.0,250,900
26,176853.0,260,982
27,215594.0,277,1124
28,262481.0,288,1203
29,320663.0,297,1319
30,390733.0,305,1420
31,476692.0,314,1531
32,581475.0,326,1635
33,708579.0,338,1722
34,865983.0,348,1832
35,1059123.0,356,1924
36,1295581.0,367,2023
