,num_infected,cities_infected,num_interactions
0,2000,1,0
1,2004,3,2
2,1969,8,8
3,1848,10,6
4,1816,16,11
5,1721,23,13
6,1639,26,10
7,1531,29,7
8,1567,37,23
9,1547,44,18
10,1466,46,18
11,1380,49,16
12,1322,51,19
13,1194,55,13
14,1088,53,10
15,988,51,12
16,954,51,16
17,881,49,11
18,863,49,17
19,781,49,9
20,751,49,15
21,687,51,9
22,619,52,8
23,578,48,11
24,552,49,11
25,505,46,8
26,460,41,8
27,402,36,4
28,337,29,2
29,279,28,1
30,279,29,6
31,268,28,6
32,251,28,5
33,220,27,3
34,180,25,1
35,148,26,1
36,133,24,3
