,num_infected,cities_infected,num_interactions
0,2000,1,0
1,2087,3,2
2,2089,10,9
3,2144,24,22
4,2079,30,17
5,2079,36,17
6,2080,42,23
7,1930,47,16
8,1793,51,18
9,1719,51,20
10,1653,54,17
11,1677,55,31
12,1628,54,24
13,1601,55,26
14,1480,59,19
15,1494,63,30
16,1403,63,22
17,1423,68,32
18,1333,70,21
19,1272,66,23
20,1157,64,14
21,1093,63,20
22,1090,66,24
23,1025,64,18
24,1006,68,21
25,919,64,13
26,867,66,16
27,833,63,16
28,755,60,11
29,728,60,16
30,648,61,8
31,585,55,7
32,536,52,8
33,514,50,10
34,467,49,7
35,420,41,7
36,376,38,6
