,num_infected,cities_infected,num_interactions
0,3000,1,0
1,3074,3,2
2,3018,12,11
3,2995,23,17
4,2898,32,18
5,2768,38,24
6,2608,45,19
7,2540,56,29
8,2413,64,26
9,2306,66,20
10,2179,68,22
11,2065,67,23
12,1993,66,27
13,1892,67,24
14,1743,68,20
15,1638,63,19
16,1555,65,19
17,1490,68,21
18,1418,66,22
19,1354,66,24
20,1202,65,10
21,1103,62,13
22,1051,60,18
23,949,60,12
24,915,60,18
25,832,59,11
26,766,58,11
27,689,56,7
28,607,55,6
29,554,51,9
30,506,45,8
31,436,42,4
32,404,36,8
33,332,33,1
34,313,32,7
35,254,29,1
36,200,27,0
