,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,33,262.0
1,0,366,212,28,204.0
2,1,366,396,39,363.0
3,1,366,212,19,137.0
4,1,366,501,1,2.0
5,1,396,528,1,8.0
6,1,396,24,1,4.0
7,1,396,619,1,6.0
8,1,396,255,2,15.0
9,1,396,276,2,12.0
10,1,396,353,1,6.0
11,1,396,374,1,6.0
12,1,396,495,1,6.0
13,2,212,616,1,3.0
14,2,212,255,1,5.0
15,2,212,585,1,7.0
16,2,212,442,1,5.0
17,2,276,212,1,5.0
18,2,366,396,20,144.0
19,2,366,212,17,121.0
20,2,396,512,1,6.0
21,2,396,519,1,6.0
22,2,396,33,2,8.0
23,2,396,627,1,7.0
24,2,396,145,1,9.0
25,2,396,238,1,8.0
26,2,528,54,1,5.0
27,3,212,14,1,6.0
28,3,212,16,1,6.0
29,3,212,544,1,6.0
30,3,212,93,1,9.0
31,3,212,619,1,7.0
32,3,212,195,1,7.0
33,3,212,563,2,15.0
34,3,212,370,1,7.0
35,3,212,405,1,7.0
36,3,212,412,1,6.0
37,3,366,396,21,117.0
38,3,366,212,9,65.0
39,3,396,519,2,14.0
40,3,396,614,1,8.0
41,3,396,627,1,6.0
42,3,396,214,1,6.0
43,3,396,302,1,5.0
44,3,396,370,1,7.0
45,3,396,495,1,7.0
46,4,212,582,1,7.0
47,4,212,627,1,5.0
48,4,212,163,1,7.0
49,4,212,178,1,4.0
50,4,366,396,5,31.0
51,4,366,212,5,30.0
52,4,396,214,1,6.0
53,4,396,255,1,6.0
54,4,396,276,2,12.0
55,4,396,308,1,7.0
56,4,396,495,1,5.0
57,4,519,286,1,6.0
58,4,614,212,1,6.0
59,5,212,16,1,5.0
60,5,212,627,1,5.0
61,5,212,238,1,8.0
62,5,212,255,1,6.0
63,5,212,407,2,11.0
64,5,212,453,1,7.0
65,5,286,405,1,5.0
66,5,366,396,8,63.0
67,5,366,212,4,25.0
68,5,396,5,1,9.0
69,5,396,627,1,7.0
70,5,396,145,1,5.0
71,5,396,255,2,13.0
72,5,544,68,1,6.0
73,5,627,212,1,7.0
74,6,163,13,1,7.0
75,6,212,512,1,6.0
76,6,212,16,1,5.0
77,6,212,545,2,16.0
78,6,212,491,1,7.0
79,6,214,623,1,6.0
80,6,255,278,1,8.0
81,6,308,501,1,6.0
82,6,366,396,8,51.0
83,6,366,212,3,17.0
84,6,396,558,2,14.0
85,6,396,238,2,16.0
86,7,396,563,1,8.0
87,7,396,276,1,6.0
88,7,396,453,1,7.0
89,7,501,345,1,5.0
90,8,212,545,1,7.0
91,8,212,255,1,6.0
92,8,212,388,1,6.0
93,8,212,495,1,8.0
94,8,255,560,1,7.0
95,8,366,396,5,33.0
96,8,366,212,1,6.0
97,8,396,563,1,6.0
98,8,396,158,1,7.0
99,9,212,103,1,6.0
100,9,238,68,1,7.0
101,9,345,501,1,9.0
102,9,366,396,1,5.0
103,9,366,212,3,23.0
104,9,396,255,1,8.0
105,9,495,382,1,7.0
106,9,545,70,1,6.0
107,10,70,345,1,8.0
108,10,212,487,1,7.0
109,10,212,505,1,6.0
110,10,345,212,1,8.0
111,10,366,212,2,11.0
112,10,382,619,1,5.0
113,10,545,212,1,5.0
114,11,212,76,1,6.0
115,11,212,619,1,6.0
116,11,366,396,1,6.0
117,11,366,212,1,6.0
118,11,396,5,1,7.0
119,12,212,24,1,8.0
120,12,366,396,1,8.0
121,13,212,152,1,6.0
122,13,212,173,1,8.0
123,13,366,396,1,6.0
124,14,396,8,1,7.0
125,16,152,623,1,5.0
126,16,212,163,1,7.0
127,16,366,396,1,8.0
128,19,163,212,1,7.0
