,num_infected,cities_infected,num_interactions
0,2000.0,1,0
1,2399.0,3,2
2,2876.0,7,6
3,3427.0,17,13
4,4080.0,26,16
5,4889.0,36,23
6,5933.0,45,35
7,7318.0,61,51
8,8871.0,79,68
9,10695.0,95,76
10,12973.0,103,84
11,15643.0,113,118
12,18995.0,121,151
13,22812.0,130,174
14,27871.0,153,228
15,34106.0,160,253
16,40872.0,164,281
17,49778.0,175,371
18,60785.0,186,447
19,73848.0,199,500
20,90062.0,212,600
21,109716.0,225,693
22,134299.0,244,811
23,163010.0,251,862
24,199430.0,262,1049
25,243218.0,274,1144
26,295605.0,286,1206
27,361617.0,298,1378
28,439936.0,313,1439
29,535587.0,323,1547
30,657150.0,335,1670
31,803940.0,338,1758
32,984351.0,350,1849
33,1200880.0,362,1968
34,1465769.0,364,2012
35,1795349.0,377,2163
36,2194784.0,384,2228
