,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,3595.0,3,2
2,4426.0,12,11
3,5354.0,26,20
4,6318.0,34,18
5,8081.0,53,46
6,9829.0,62,56
7,11811.0,79,66
8,14477.0,93,91
9,17526.0,106,113
10,21114.0,121,144
11,25298.0,133,161
12,30847.0,143,224
13,37912.0,160,272
14,45962.0,177,311
15,55918.0,183,379
16,67875.0,192,446
17,82894.0,203,524
18,100775.0,216,603
19,122159.0,226,705
20,148912.0,233,796
21,182866.0,247,946
22,222334.0,260,1009
23,271476.0,273,1133
24,332497.0,289,1292
25,405262.0,300,1377
26,494018.0,314,1500
27,602606.0,320,1600
28,734965.0,332,1723
29,898226.0,343,1806
30,1096480.0,357,1919
31,1337649.0,363,1983
32,1640217.0,369,2077
33,2002326.0,374,2176
34,2449748.0,382,2281
35,2998577.0,391,2361
36,3665703.0,403,2429
