,num_infected,cities_infected,num_interactions
0,5000,1,0
1,4564,3,2
2,4325,16,17
3,3891,26,20
4,3558,38,28
5,3170,46,17
6,2889,54,23
7,2666,66,37
8,2484,67,29
9,2196,74,26
10,1932,72,22
11,1744,76,29
12,1511,73,21
13,1368,72,25
14,1146,69,12
15,1016,69,18
16,938,65,21
17,823,62,15
18,712,57,12
19,614,53,10
20,557,51,12
21,488,44,10
22,404,44,4
23,376,40,10
24,318,36,5
25,255,32,3
26,237,33,6
27,203,32,4
28,188,31,5
29,154,29,3
30,108,22,0
31,91,21,2
32,70,18,1
33,45,13,0
34,35,8,1
35,34,7,1
36,33,8,1
