,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,3117.0,3,2
2,3286.0,7,6
3,3623.0,15,12
4,3824.0,21,15
5,4192.0,32,22
6,4719.0,46,35
7,5182.0,60,42
8,5526.0,69,44
9,5931.0,78,47
10,6448.0,90,58
11,6926.0,102,59
12,7511.0,107,68
13,8066.0,114,76
14,8676.0,117,83
15,9499.0,117,93
16,10191.0,125,101
17,10959.0,132,113
18,11836.0,138,132
19,13139.0,144,172
20,14527.0,154,180
21,15540.0,159,168
22,16901.0,164,194
23,18253.0,168,198
24,19980.0,176,235
25,21580.0,178,226
26,23370.0,182,261
27,25238.0,188,262
28,27552.0,196,308
29,29934.0,200,317
30,32579.0,206,350
31,35452.0,207,383
32,38576.0,215,391
33,42278.0,217,444
34,46601.0,220,504
35,50633.0,226,504
36,54992.0,231,538
