,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,43,314
1,0,366,212,40,350
2,1,212,614,1,5
3,1,212,255,2,10
4,1,212,370,1,7
5,1,212,385,1,6
6,1,212,449,1,6
7,1,366,396,27,204
8,1,366,212,27,149
9,1,396,598,1,6
10,1,396,276,2,14
11,1,396,495,1,8
12,2,212,51,1,6
13,2,212,63,1,7
14,2,212,145,1,8
15,2,212,152,1,7
16,2,212,238,2,16
17,2,212,273,1,5
18,2,212,374,1,8
19,2,212,453,1,7
20,2,255,212,1,4
21,2,366,396,14,106
22,2,366,212,9,63
23,2,396,145,2,9
24,3,63,286,1,7
25,3,212,158,1,8
26,3,212,238,1,6
27,3,212,255,2,14
28,3,212,349,1,6
29,3,212,505,1,6
30,3,273,212,1,7
31,3,366,396,14,86
32,3,366,212,10,68
33,3,396,512,1,8
34,3,396,544,1,8
35,3,396,38,1,6
36,3,396,598,1,6
37,3,396,145,1,7
38,3,396,178,1,5
39,3,396,238,1,6
40,3,396,255,2,10
41,3,396,308,1,7
42,3,396,412,1,8
43,4,145,278,1,7
44,4,158,212,1,9
45,4,212,519,1,6
46,4,212,238,1,9
47,4,212,255,1,5
48,4,212,484,1,6
49,4,366,396,11,56
50,4,366,212,7,54
51,4,396,38,1,6
52,4,598,278,1,8
53,5,212,16,1,5
54,5,212,40,1,8
55,5,212,302,1,7
56,5,212,349,1,8
57,5,212,395,1,6
58,5,366,396,4,34
59,5,366,212,8,57
60,5,374,623,1,8
61,5,396,93,1,6
62,5,396,627,1,7
63,5,396,160,1,7
64,5,396,238,1,8
65,5,396,255,1,7
66,5,396,273,1,6
67,5,396,374,1,9
68,5,396,495,1,7
69,5,544,164,1,6
70,6,16,212,1,8
71,6,212,544,2,16
72,6,212,545,1,6
73,6,212,615,1,4
74,6,212,627,2,15
75,6,212,349,1,7
76,6,212,370,1,6
77,6,276,326,1,6
78,6,278,495,1,8
79,6,366,396,2,14
80,6,366,212,2,14
81,6,396,563,1,5
82,6,396,93,1,6
83,6,396,145,1,6
84,6,627,384,1,6
85,7,212,614,1,4
86,7,212,255,2,16
87,7,212,276,1,6
88,7,212,442,1,7
89,7,326,544,1,8
90,7,366,396,4,27
91,7,366,212,3,20
92,7,370,286,1,6
93,7,396,123,1,8
94,7,396,370,1,6
95,7,495,396,1,6
96,7,505,501,1,7
97,7,627,501,1,9
98,8,164,24,1,7
99,8,212,558,1,7
100,8,212,598,1,7
101,8,212,255,1,8
102,8,212,273,1,4
103,8,212,453,1,7
104,8,238,212,1,7
105,8,366,212,5,31
106,8,396,38,1,6
107,8,396,598,2,14
108,8,396,276,1,7
109,8,396,302,1,6
110,8,442,212,1,6
111,8,544,278,1,7
112,9,212,545,1,6
113,9,212,76,1,7
114,9,212,200,1,7
115,9,212,585,2,12
116,9,255,278,1,6
117,9,349,13,1,6
118,9,396,38,1,5
119,9,396,238,1,6
120,9,396,302,1,6
121,9,614,396,1,7
122,10,212,412,1,7
123,10,366,396,1,7
124,10,396,276,1,6
125,10,563,54,1,7
126,10,627,286,1,5
127,11,76,623,1,8
128,11,212,349,1,6
129,11,278,178,1,8
130,12,13,370,1,6
131,12,396,614,1,8
132,12,558,501,1,7
133,13,366,212,1,6
134,13,396,276,1,7
135,14,366,396,1,6
136,16,366,212,1,6
137,16,396,627,1,6
138,17,614,396,1,5
139,18,627,212,1,5
