,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,5402.0,3,2
2,5964.0,12,12
3,6399.0,25,22
4,6939.0,39,36
5,7570.0,51,43
6,8220.0,59,38
7,9101.0,81,68
8,9992.0,94,82
9,10909.0,107,91
10,12146.0,114,108
11,13280.0,127,122
12,14439.0,131,131
13,15875.0,137,160
14,17269.0,146,168
15,18703.0,150,179
16,20355.0,151,211
17,22274.0,163,227
18,24715.0,166,265
19,27361.0,178,311
20,29916.0,188,309
21,32948.0,195,356
22,36054.0,198,354
23,38730.0,208,369
24,42057.0,214,398
25,45889.0,218,451
26,49769.0,219,458
27,54955.0,226,543
28,59746.0,227,525
29,65229.0,230,581
30,71511.0,229,612
31,78764.0,238,720
32,85919.0,242,700
33,93830.0,247,764
34,102749.0,252,790
35,112619.0,255,872
36,123083.0,261,883
