,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,33,319
1,0,366,212,33,301
2,1,212,8,1,10
3,1,212,545,1,8
4,1,212,214,1,7
5,1,212,353,1,9
6,1,212,414,1,8
7,1,366,396,31,182
8,1,366,212,35,301
9,1,396,528,2,15
10,1,396,160,1,8
11,1,396,178,1,9
12,1,396,255,1,8
13,2,212,565,1,8
14,2,212,117,1,10
15,2,212,158,1,8
16,2,212,178,1,8
17,2,212,214,1,9
18,2,212,215,1,11
19,2,212,255,1,9
20,2,212,273,1,9
21,2,212,394,1,9
22,2,212,495,1,10
23,2,214,623,1,7
24,2,366,396,31,230
25,2,366,212,25,198
26,2,396,563,1,9
27,2,396,84,1,10
28,2,396,627,2,15
29,2,396,255,1,5
30,2,396,276,2,19
31,2,396,370,1,8
32,2,396,414,1,6
33,2,396,495,1,8
34,3,8,212,1,8
35,3,212,512,1,7
36,3,212,5,1,8
37,3,212,544,1,11
38,3,212,556,1,5
39,3,212,214,1,7
40,3,212,231,1,9
41,3,212,276,1,7
42,3,212,323,1,6
43,3,212,414,1,9
44,3,212,455,1,10
45,3,276,54,1,9
46,3,276,501,1,7
47,3,366,396,22,137
48,3,366,212,23,174
49,3,370,501,1,9
50,3,396,563,1,9
51,3,396,606,1,7
52,3,396,619,1,9
53,3,396,145,1,10
54,3,396,238,1,7
55,3,396,276,3,35
56,3,396,302,1,7
57,3,396,453,1,7
58,3,396,495,1,9
59,3,545,212,1,9
60,4,212,5,1,7
61,4,212,14,1,8
62,4,212,63,1,9
63,4,212,598,1,6
64,4,212,214,1,8
65,4,212,232,1,7
66,4,212,238,1,8
67,4,212,255,1,8
68,4,212,366,1,8
69,4,212,374,1,7
70,4,212,376,1,10
71,4,212,405,1,6
72,4,212,585,1,8
73,4,366,396,18,143
74,4,366,212,19,162
75,4,396,519,1,8
76,4,396,558,1,5
77,4,396,598,1,9
78,4,396,93,1,9
79,4,396,627,2,15
80,4,396,145,1,10
81,4,396,255,2,15
82,4,396,276,3,26
83,4,396,308,1,8
84,4,396,495,1,8
85,4,495,559,1,9
86,4,563,212,1,8
87,4,627,286,1,9
88,5,212,93,1,8
89,5,212,619,1,8
90,5,212,195,2,13
91,5,212,221,1,10
92,5,212,232,1,8
93,5,212,255,3,22
94,5,212,345,1,7
95,5,212,370,1,9
96,5,212,414,1,8
97,5,212,415,1,8
98,5,212,453,1,8
99,5,214,623,1,7
100,5,238,623,1,10
101,5,276,286,1,7
102,5,276,560,1,9
103,5,276,164,1,6
104,5,302,278,1,9
105,5,366,396,17,154
106,5,366,212,17,150
107,5,370,212,1,7
108,5,396,516,1,6
109,5,396,5,1,10
110,5,396,598,1,8
111,5,396,627,1,11
112,5,396,238,1,9
113,5,396,255,2,19
114,5,396,276,4,26
115,5,396,345,1,10
116,5,396,453,1,10
117,5,396,489,1,8
118,5,396,495,1,11
119,6,5,623,1,6
120,6,145,13,1,10
121,6,145,286,1,9
122,6,164,544,1,8
123,6,212,5,1,7
124,6,212,14,1,9
125,6,212,63,1,9
126,6,212,76,1,7
127,6,212,598,1,8
128,6,212,622,1,8
129,6,212,627,1,6
130,6,212,145,1,10
131,6,212,255,2,20
132,6,212,349,2,15
133,6,212,388,1,9
134,6,212,487,1,9
135,6,212,505,1,9
136,6,231,212,2,18
137,6,238,212,1,8
138,6,238,384,1,10
139,6,255,278,1,6
140,6,255,68,1,7
141,6,255,381,1,8
142,6,276,164,1,9
143,6,308,13,1,7
144,6,366,396,15,115
145,6,366,212,14,115
146,6,396,512,1,7
147,6,396,519,1,10
148,6,396,528,1,10
149,6,396,38,1,8
150,6,396,627,2,18
151,6,396,145,1,9
152,6,396,160,1,7
153,6,396,214,1,9
154,6,396,255,2,15
155,6,396,273,1,8
156,6,396,308,1,8
157,6,396,374,1,9
158,6,396,453,2,15
159,6,414,212,1,10
160,6,453,623,1,8
161,6,453,501,1,7
162,6,495,141,1,9
163,6,495,382,1,9
164,6,563,54,1,9
165,6,623,24,1,7
166,6,627,396,1,9
167,6,627,278,1,10
168,7,8,212,1,8
169,7,13,619,1,6
170,7,63,70,1,7
171,7,145,396,1,7
172,7,145,381,1,8
173,7,164,288,1,5
174,7,164,627,1,8
175,7,178,560,1,7
176,7,212,565,1,9
177,7,212,124,1,8
178,7,212,195,1,8
179,7,212,255,5,27
180,7,212,273,2,17
181,7,212,407,1,8
182,7,212,412,3,24
183,7,212,415,1,8
184,7,214,501,1,11
185,7,232,623,1,7
186,7,255,396,1,8
187,7,255,13,1,10
188,7,255,623,1,8
189,7,273,212,1,10
190,7,273,278,1,7
191,7,276,501,1,10
192,7,366,396,10,94
193,7,366,212,9,84
194,7,370,384,1,5
195,7,396,516,1,9
196,7,396,619,1,7
197,7,396,627,1,7
198,7,396,145,1,8
199,7,396,255,4,29
200,7,396,276,2,18
201,7,396,453,1,9
202,7,396,495,2,12
203,7,414,212,1,8
204,7,415,212,1,9
205,7,495,278,1,7
206,7,501,145,1,8
207,7,598,396,1,9
208,7,598,54,1,9
209,7,619,254,1,7
210,8,5,623,1,7
211,8,195,623,1,7
212,8,212,76,2,15
213,8,212,606,1,9
214,8,212,627,1,7
215,8,212,158,1,10
216,8,212,160,1,9
217,8,212,255,1,9
218,8,212,330,1,7
219,8,212,370,1,8
220,8,212,391,1,8
221,8,212,453,1,9
222,8,212,484,1,7
223,8,212,487,1,9
224,8,214,13,1,9
225,8,255,212,1,8
226,8,276,396,1,9
227,8,276,13,1,10
228,8,366,396,15,117
229,8,366,212,10,69
230,8,381,238,1,7
231,8,396,38,1,5
232,8,396,563,1,7
233,8,396,614,1,9
234,8,396,103,1,9
235,8,396,627,1,9
236,8,396,145,1,8
237,8,396,214,1,7
238,8,396,238,1,8
239,8,396,255,1,6
240,8,396,276,1,9
241,8,622,13,1,8
242,8,627,384,1,10
243,8,627,278,1,9
244,9,76,212,2,17
245,9,103,212,1,7
246,9,195,212,1,7
247,9,212,512,1,7
248,9,212,534,1,8
249,9,212,545,1,6
250,9,212,627,1,7
251,9,212,128,1,9
252,9,212,255,1,8
253,9,212,273,3,33
254,9,212,308,1,8
255,9,212,395,1,8
256,9,212,405,1,8
257,9,212,407,1,9
258,9,212,585,2,15
259,9,212,472,1,8
260,9,212,487,1,6
261,9,212,489,1,7
262,9,212,495,1,8
263,9,255,13,1,8
264,9,255,212,1,7
265,9,255,501,1,8
266,9,276,501,1,8
267,9,366,396,18,138
268,9,366,212,6,53
269,9,384,255,1,7
270,9,396,516,1,10
271,9,396,528,1,8
272,9,396,38,1,6
273,9,396,619,1,6
274,9,396,627,1,7
275,9,396,158,1,9
276,9,396,160,2,22
277,9,396,178,1,9
278,9,396,214,1,9
279,9,396,238,1,7
280,9,396,255,2,15
281,9,396,495,1,9
282,9,415,212,1,7
283,9,489,70,1,8
284,9,495,559,1,8
285,9,505,212,1,10
286,9,606,212,1,8
287,9,623,124,1,8
288,9,623,234,1,10
289,9,627,396,1,10
290,10,5,396,1,9
291,10,70,619,1,7
292,10,76,212,1,8
293,10,145,212,1,8
294,10,195,212,1,7
295,10,212,24,1,9
296,10,212,545,1,7
297,10,212,565,1,8
298,10,212,93,1,7
299,10,212,616,1,8
300,10,212,619,1,9
301,10,212,302,1,8
