,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,5,33
1,0,366,212,14,83
2,1,212,627,1,8
3,1,366,396,10,69
4,1,366,212,11,67
5,2,212,512,1,5
6,2,212,544,1,7
7,2,366,396,8,54
8,2,366,212,10,68
9,2,396,516,1,7
10,2,396,495,1,4
11,3,212,449,1,7
12,3,366,396,3,19
13,3,366,212,5,41
14,4,212,627,1,6
15,4,366,396,5,29
16,4,366,212,2,10
17,4,396,255,1,5
18,5,212,528,1,6
19,5,366,396,2,14
20,5,366,212,2,11
21,5,396,370,1,7
22,6,212,276,1,5
23,6,366,212,1,5
24,6,396,558,1,6
25,6,396,598,1,6
26,6,396,370,1,7
27,7,212,231,1,8
28,7,366,396,1,8
29,7,366,212,1,7
30,8,366,212,1,5
31,8,370,70,1,6
32,8,528,623,1,8
33,9,212,627,1,4
34,9,212,349,1,8
35,9,212,487,1,7
36,9,366,396,1,7
37,10,212,627,1,7
38,10,366,396,2,13
39,11,349,212,1,5
40,12,487,212,1,6
41,15,212,238,1,6
