,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,5121.0,3,2
2,5292.0,15,14
3,5396.0,22,16
4,5662.0,29,19
5,5878.0,48,35
6,6009.0,57,40
7,6017.0,66,42
8,6146.0,72,40
9,6328.0,75,51
10,6569.0,86,73
11,6865.0,95,79
12,7027.0,100,68
13,7260.0,108,81
14,7359.0,114,82
15,7542.0,117,83
16,7664.0,125,90
17,7822.0,129,93
18,8019.0,131,103
19,8106.0,137,95
20,8244.0,134,106
21,8443.0,140,109
22,8761.0,141,127
23,8947.0,143,115
24,9125.0,148,116
25,9158.0,151,115
26,9484.0,152,136
27,9634.0,153,131
28,9860.0,158,140
29,9913.0,160,131
30,10023.0,163,128
31,9991.0,169,113
32,10197.0,167,136
33,10154.0,163,116
34,10343.0,172,143
35,10590.0,175,150
36,10786.0,178,143
