,num_infected,cities_infected,num_interactions
0,1000.0,1,0
1,1240.0,3,2
2,1574.0,11,10
3,1992.0,17,13
4,2346.0,24,16
5,2712.0,30,17
6,3132.0,40,21
7,3764.0,45,20
8,4607.0,53,32
9,5557.0,64,41
10,6951.0,70,61
11,8331.0,84,69
12,10244.0,100,87
13,12452.0,114,116
14,15073.0,128,123
15,18386.0,136,173
16,22265.0,144,181
17,26917.0,154,223
18,32592.0,166,276
19,39355.0,178,327
20,47579.0,187,375
21,57796.0,201,441
22,70446.0,218,546
23,85785.0,230,600
24,104273.0,240,701
25,126805.0,251,791
26,154650.0,259,894
27,188601.0,269,1005
28,231059.0,282,1123
29,281592.0,294,1195
30,342867.0,304,1320
31,418870.0,309,1411
32,511466.0,316,1518
33,624040.0,324,1661
34,765072.0,336,1749
35,934444.0,345,1828
36,1140344.0,354,1939
