,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,216,1,1.0
1,0,366,396,39,263.0
2,0,366,212,34,227.0
3,1,212,627,1,4.0
4,1,212,158,1,5.0
5,1,212,255,1,6.0
6,1,212,330,1,5.0
7,1,366,396,23,136.0
8,1,366,212,11,72.0
9,1,396,516,1,6.0
10,1,396,528,1,5.0
11,1,396,558,1,5.0
12,1,396,563,1,5.0
13,1,396,614,1,7.0
14,1,396,255,2,10.0
15,1,396,273,2,13.0
16,2,212,232,1,2.0
17,2,212,412,1,5.0
18,2,366,396,21,143.0
19,2,366,212,17,110.0
20,2,396,38,1,6.0
21,2,396,255,1,5.0
22,2,396,308,1,6.0
23,2,396,366,1,6.0
24,3,212,598,1,4.0
25,3,212,255,2,14.0
26,3,366,396,5,26.0
27,3,366,212,12,61.0
28,3,396,512,1,8.0
29,3,396,615,1,6.0
30,3,396,558,1,5.0
31,3,396,276,1,5.0
32,3,396,489,1,5.0
33,3,412,278,1,7.0
34,3,516,396,1,6.0
35,4,212,323,1,5.0
36,4,366,396,3,16.0
37,4,366,212,3,14.0
38,4,396,598,1,5.0
39,4,396,123,1,6.0
40,4,396,370,1,7.0
41,4,598,212,1,6.0
42,5,212,63,1,5.0
43,5,212,616,1,6.0
44,5,212,453,1,5.0
45,5,366,212,4,20.0
46,5,489,212,1,6.0
47,6,323,425,1,4.0
48,6,366,396,1,5.0
49,6,366,212,1,5.0
50,6,396,308,1,6.0
51,6,453,623,1,5.0
52,7,366,396,2,12.0
53,7,366,212,3,17.0
54,8,212,145,1,6.0
55,8,212,276,1,5.0
56,8,366,396,2,11.0
57,8,366,212,4,24.0
58,8,425,93,1,5.0
59,9,93,623,1,5.0
60,9,212,255,1,6.0
61,9,366,396,1,5.0
62,9,623,238,1,7.0
63,11,93,70,1,4.0
