,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,3644.0,3,2
2,4493.0,16,17
3,5388.0,26,18
4,6553.0,42,30
5,7938.0,57,40
6,9555.0,68,46
7,11327.0,78,63
8,14038.0,90,105
9,17136.0,99,104
10,20603.0,117,125
11,24913.0,128,164
12,30201.0,141,219
13,36497.0,151,249
14,44503.0,170,310
15,53667.0,179,354
16,65286.0,187,446
17,79664.0,200,525
18,96869.0,213,626
19,117761.0,224,695
20,143848.0,235,798
21,175025.0,247,914
22,212411.0,261,1020
23,259287.0,279,1135
24,314592.0,289,1225
25,384523.0,298,1365
26,468009.0,306,1455
27,572476.0,318,1591
28,697426.0,327,1684
29,850464.0,339,1791
30,1037355.0,352,1852
31,1266203.0,363,1982
32,1547304.0,367,2068
33,1894419.0,377,2144
34,2317666.0,385,2220
35,2835622.0,397,2298
36,3466103.0,406,2426
