,num_infected,cities_infected,num_interactions
0,1000,1,0
1,1122,3,2
2,1190,6,5
3,1310,9,7
4,1441,14,10
5,1629,22,17
6,1815,30,16
7,1900,38,16
8,1987,47,19
9,2202,54,21
10,2392,63,29
11,2554,63,25
12,2640,68,26
13,2802,72,34
14,3024,76,40
15,3269,84,45
16,3434,92,38
17,3612,96,39
18,3920,97,52
19,4252,102,63
20,4601,112,59
21,4944,115,65
22,5251,117,58
23,5704,119,77
24,6079,124,74
25,6562,130,84
26,6891,136,71
27,7440,141,107
28,7971,141,93
29,8446,143,99
30,9129,145,119
31,9906,147,140
32,10670,152,132
33,11468,160,147
34,12370,161,158
35,13390,164,169
36,14345,164,177
