,num_infected,cities_infected,num_interactions
0,1000.0,1,0
1,1295.0,3,2
2,1598.0,8,7
3,1989.0,16,14
4,2345.0,24,15
5,2956.0,39,26
6,3648.0,48,28
7,4243.0,56,32
8,5216.0,71,50
9,6249.0,79,45
10,7608.0,89,67
11,9185.0,96,75
12,11053.0,110,99
13,12985.0,116,99
14,15784.0,128,138
15,19404.0,139,192
16,23417.0,152,204
17,28213.0,164,240
18,34587.0,177,310
19,42071.0,192,353
20,51425.0,202,427
21,63262.0,213,526
22,76535.0,224,561
23,92685.0,231,626
24,112416.0,240,725
25,136493.0,251,834
26,166897.0,264,948
27,203557.0,272,1034
28,248492.0,285,1163
29,304256.0,294,1235
30,371947.0,301,1396
31,453485.0,309,1490
32,553179.0,320,1603
33,675287.0,330,1700
34,825875.0,339,1782
35,1010458.0,347,1908
36,1235685.0,356,1986
