,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,4247.0,3,2
2,3504.0,9,8
3,2980.0,21,18
4,2592.0,28,15
5,2209.0,37,18
6,1849.0,44,19
7,1557.0,49,18
8,1284.0,51,17
9,1114.0,52,21
10,965.0,57,19
11,804.0,55,15
12,693.0,52,16
13,562.0,51,10
14,485.0,49,13
15,381.0,43,6
16,306.0,38,6
17,232.0,30,3
18,173.0,26,2
19,131.0,20,2
20,90.0,18,0
21,72.0,11,2
22,55.0,8,1
23,38.0,7,0
24,26.0,6,0
25,18.0,5,0
26,12.0,5,0
27,6.0,3,0
28,3.0,1,0
29,2.0,1,0
30,1.0,1,0
31,0.0,0,0
32,0.0,0,0
33,0.0,0,0
34,0.0,0,0
35,0.0,0,0
36,0.0,0,0
