,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,32,309
1,0,366,212,24,151
2,1,212,627,1,8
3,1,212,238,1,9
4,1,212,394,1,8
5,1,212,449,1,6
6,1,366,396,24,216
7,1,366,212,17,142
8,1,396,512,1,8
9,1,396,519,1,10
10,1,396,93,1,10
11,1,396,103,1,7
12,1,396,619,1,8
13,1,396,627,1,8
14,1,396,158,1,6
15,1,396,276,2,13
16,1,396,308,1,7
17,2,93,286,1,5
18,2,212,622,1,9
19,2,212,238,1,7
20,2,276,254,1,8
21,2,366,396,17,95
22,2,366,212,18,152
23,2,396,512,1,10
24,2,396,516,1,9
25,2,396,563,1,8
26,2,396,103,1,7
27,2,396,619,1,7
28,2,396,627,1,9
29,2,396,158,1,7
30,2,396,178,1,10
31,2,396,214,1,6
32,2,396,238,1,6
33,2,396,255,1,8
34,2,396,276,1,8
35,2,396,453,1,6
36,2,512,560,1,8
37,3,178,212,1,8
38,3,212,545,1,8
39,3,212,160,1,9
40,3,212,232,1,6
41,3,212,585,2,16
42,3,214,212,1,8
43,3,366,396,13,107
44,3,366,212,9,46
45,3,396,558,1,5
46,3,396,158,2,15
47,3,396,255,2,18
48,3,396,370,1,9
49,3,396,495,1,7
50,3,619,381,1,6
51,4,160,501,1,7
52,4,212,544,1,8
53,4,212,558,1,7
54,4,212,103,1,8
55,4,212,627,3,25
56,4,212,158,1,9
57,4,212,232,1,10
58,4,212,585,1,9
59,4,238,164,1,8
60,4,255,560,1,8
61,4,366,396,8,71
62,4,366,212,6,51
63,4,396,614,1,8
64,4,396,255,1,9
65,4,396,495,1,8
66,4,627,212,2,17
67,5,103,212,1,9
68,5,158,501,1,6
69,5,160,396,1,7
70,5,212,545,1,6
71,5,212,238,1,7
72,5,212,273,1,6
73,5,212,323,1,8
74,5,212,414,1,5
75,5,212,487,1,6
76,5,232,212,1,6
77,5,255,384,1,10
78,5,286,616,1,8
79,5,366,396,9,71
80,5,366,212,6,53
81,5,381,619,1,7
82,5,396,519,1,8
83,5,396,160,1,7
84,5,396,255,1,6
85,5,396,276,1,7
86,5,396,345,1,6
87,5,396,495,1,7
88,5,495,212,1,9
89,5,627,254,1,8
90,6,158,278,1,8
91,6,212,214,1,7
92,6,212,255,1,9
93,6,212,370,1,7
94,6,212,585,1,9
95,6,212,453,1,5
96,6,366,396,6,38
97,6,366,212,7,48
98,6,396,238,2,17
99,6,396,370,1,7
100,6,627,212,1,8
101,7,160,396,1,9
102,7,212,619,1,8
103,7,212,117,1,8
104,7,212,214,1,8
105,7,212,563,1,9
106,7,212,394,1,8
107,7,212,405,1,8
108,7,254,616,1,8
109,7,255,13,1,6
110,7,323,425,1,9
111,7,366,396,5,40
112,7,366,212,6,40
113,7,370,286,1,8
114,7,384,519,1,7
115,7,396,512,1,8
116,7,396,627,2,15
117,7,396,178,1,7
118,7,396,214,1,5
119,7,396,276,1,6
120,7,512,278,1,9
121,7,545,285,1,6
122,7,558,212,1,7
123,7,558,501,1,9
124,7,585,212,1,8
125,7,627,560,1,7
