,num_infected,cities_infected,num_interactions
0,3000,1,0
1,3166,3,2
2,3296,10,9
3,3396,23,16
4,3473,34,21
5,3594,48,27
6,3672,53,24
7,3713,61,35
8,3749,66,34
9,3821,71,35
10,3961,81,45
11,4015,85,38
12,4098,88,48
13,4112,88,40
14,4230,89,49
15,4383,88,54
16,4521,93,62
17,4603,97,64
18,4696,99,60
19,4793,107,61
20,4858,113,64
21,4773,114,52
22,4879,119,63
23,4797,122,47
24,5027,127,74
25,5192,129,84
26,5255,132,72
27,5313,133,75
28,5524,131,90
29,5690,136,86
30,5867,137,91
31,5973,142,86
32,5917,140,69
33,6141,146,95
34,6424,147,104
35,6602,144,101
36,6712,143,96
