,num_infected,cities_infected,num_interactions
0,3000.0,1,0
1,2976.0,3,2
2,2863.0,11,11
3,2804.0,21,15
4,2693.0,26,16
5,2642.0,35,18
6,2638.0,45,25
7,2570.0,53,29
8,2486.0,59,28
9,2315.0,63,23
10,2237.0,64,23
11,2142.0,68,27
12,2079.0,69,25
13,1933.0,69,18
14,1932.0,70,36
15,1814.0,74,26
16,1687.0,73,21
17,1598.0,69,22
18,1526.0,67,24
19,1410.0,66,19
20,1337.0,64,21
21,1292.0,60,21
22,1197.0,59,17
23,1139.0,61,19
24,1108.0,64,22
25,1039.0,62,17
26,927.0,61,9
27,817.0,59,9
28,782.0,60,13
29,744.0,61,14
30,691.0,56,11
31,641.0,56,11
32,607.0,53,12
33,579.0,51,12
34,531.0,50,9
35,494.0,47,10
36,462.0,48,9
