,num_infected,cities_infected,num_interactions
0,2000,1,0
1,2252,3,2
2,2465,11,10
3,2651,17,13
4,2975,32,21
5,3215,40,22
6,3516,51,23
7,3858,59,32
8,4198,69,41
9,4554,77,44
10,5028,85,48
11,5390,94,52
12,6066,101,78
13,6582,111,69
14,7192,119,85
15,7823,124,100
16,8753,128,117
17,9527,138,110
18,10222,143,111
19,11037,149,130
20,11844,156,131
21,12940,160,159
22,14188,161,173
23,15356,164,176
24,16611,170,183
25,18034,170,220
26,20114,170,257
27,21952,173,258
28,23666,181,247
29,26024,184,311
30,28361,192,302
31,30815,196,332
32,33303,202,352
33,36307,212,418
34,39427,222,417
35,42746,228,440
36,46605,232,469
