,num_infected,cities_infected,num_interactions
0,3000,1,0
1,3131,3,2
2,3207,11,10
3,3330,19,14
4,3491,30,23
5,3584,36,19
6,3667,50,27
7,3734,57,26
8,3892,71,39
9,4033,78,39
10,4165,83,50
11,4287,85,41
12,4371,88,48
13,4521,95,63
14,4626,96,55
15,4773,98,64
16,4874,105,64
17,4994,108,63
18,5128,110,66
19,5281,116,75
20,5293,121,69
21,5457,126,83
22,5510,133,77
23,5563,134,64
24,5756,135,88
25,5786,138,74
26,5972,139,86
27,5950,139,73
28,6187,143,102
29,6249,143,84
30,6432,143,95
31,6618,146,104
32,6835,144,103
33,6974,147,95
34,7080,149,102
35,7030,147,84
36,7143,147,103
