,time,departure_city,arrival_city,departing_infected,arriving_infected
0,0,366,396,16,118
1,0,366,212,9,100
2,1,212,214,1,7
3,1,212,405,1,10
4,1,212,495,1,10
5,1,366,396,17,147
6,1,366,212,15,135
7,1,396,495,1,6
8,2,212,8,1,9
9,2,212,627,1,7
10,2,212,145,1,8
11,2,212,238,1,11
12,2,212,255,1,8
13,2,212,302,1,10
14,2,212,308,1,7
15,2,212,495,1,8
16,2,366,396,6,48
17,2,366,212,6,45
18,2,396,614,1,8
19,2,396,627,1,10
20,3,212,544,1,9
21,3,212,545,1,7
22,3,212,558,1,9
23,3,212,117,1,8
24,3,212,214,1,9
25,3,212,231,1,10
26,3,212,238,1,9
27,3,212,302,1,6
28,3,212,495,1,10
29,3,366,396,8,75
30,3,366,212,9,75
31,3,396,5,1,6
32,3,396,528,1,8
33,3,396,103,1,9
34,3,396,276,1,7
35,3,396,370,1,7
36,3,396,495,1,7
37,4,212,8,1,8
38,4,212,255,1,8
39,4,212,370,1,9
40,4,212,378,1,9
41,4,212,585,1,9
42,4,212,505,1,9
43,4,366,396,16,165
44,4,366,212,6,40
45,4,396,512,1,8
46,4,396,563,1,10
47,4,396,614,1,7
48,4,396,619,1,10
49,4,396,160,1,6
50,4,396,238,1,9
51,4,396,255,2,17
52,4,396,276,1,8
53,4,396,370,1,9
54,4,396,495,1,8
55,4,405,501,2,20
56,4,495,335,1,8
57,4,558,396,1,7
58,5,212,627,1,8
59,5,212,563,1,7
60,5,212,412,1,9
61,5,255,623,1,10
62,5,276,384,1,8
63,5,366,396,6,35
64,5,366,212,7,59
65,5,396,544,1,9
66,5,396,158,1,9
67,5,396,160,1,9
68,5,396,255,1,10
69,5,396,308,1,9
70,5,495,335,1,8
71,5,501,191,1,8
72,5,501,255,1,8
73,5,544,623,2,18
74,5,627,13,1,8
75,6,160,501,1,10
76,6,212,627,1,8
77,6,212,178,1,8
78,6,212,231,1,8
79,6,212,442,1,10
80,6,366,396,14,123
81,6,366,212,6,55
82,6,378,212,1,7
83,6,396,531,1,9
84,6,396,614,1,7
85,6,396,158,1,6
86,6,396,160,1,7
87,6,396,273,1,10
88,6,396,453,1,9
89,6,405,501,1,9
90,6,412,560,1,6
91,6,412,278,1,8
92,6,495,278,1,9
93,6,501,18,1,8
94,7,103,212,1,7
95,7,158,54,1,10
96,7,212,8,1,8
97,7,212,627,3,24
98,7,212,349,1,6
99,7,212,484,1,8
100,7,214,286,1,9
101,7,366,396,6,67
102,7,366,212,9,102
103,7,370,286,1,9
104,7,396,519,1,9
105,7,396,615,1,7
106,7,396,627,2,16
107,7,396,145,1,8
108,7,396,276,1,10
109,7,396,302,1,7
110,7,396,495,1,5
111,7,442,212,1,9
112,7,531,396,1,9
113,7,544,54,1,10
114,7,545,212,1,9
115,7,614,212,1,10
116,8,212,8,1,10
117,8,212,544,1,9
118,8,212,51,1,8
119,8,212,627,1,11
120,8,212,255,2,19
121,8,212,405,1,9
122,8,212,495,1,8
123,8,231,212,1,5
124,8,238,70,1,7
125,8,238,212,1,10
126,8,273,560,1,8
127,8,308,13,1,9
128,8,366,396,8,77
129,8,366,212,4,46
130,8,396,5,1,10
131,8,396,519,1,9
132,8,396,544,1,8
133,8,396,38,1,9
134,8,396,598,1,11
135,8,396,619,1,10
136,8,396,627,1,5
137,8,396,152,1,11
138,8,396,302,1,7
139,8,396,495,1,9
140,8,442,212,1,9
141,8,501,385,1,8
142,8,544,13,1,9
143,8,627,70,2,20
144,9,13,288,1,7
145,9,54,276,1,10
146,9,212,12,1,7
147,9,212,534,1,10
148,9,212,42,1,9
149,9,212,178,1,9
150,9,212,214,1,7
151,9,212,238,1,8
152,9,212,378,1,8
153,9,212,585,1,7
154,9,276,54,1,6
155,9,286,545,1,8
156,9,366,396,5,44
157,9,366,212,3,32
158,9,396,33,1,9
159,9,396,627,2,16
160,9,396,255,1,9
161,9,396,276,1,9
162,9,396,414,1,9
163,9,396,453,1,10
164,9,442,212,1,8
165,9,623,323,1,10
166,9,627,254,1,7
167,9,627,212,1,9
168,10,13,196,1,9
169,10,13,412,1,10
170,10,33,396,1,8
171,10,70,544,1,9
172,10,70,82,1,8
173,10,70,345,1,9
174,10,212,20,1,8
175,10,212,24,2,19
176,10,212,25,1,7
177,10,212,615,1,9
178,10,212,565,1,10
179,10,212,63,1,12
180,10,212,580,1,6
181,10,212,619,1,8
182,10,212,152,1,11
183,10,212,178,1,5
184,10,212,215,1,8
185,10,212,255,1,9
186,10,238,13,1,8
187,10,255,384,1,9
188,10,255,560,1,10
189,10,255,623,1,9
190,10,276,326,1,8
191,10,278,302,1,7
192,10,302,335,1,8
193,10,335,302,1,9
194,10,366,396,8,83
195,10,366,212,7,62
196,10,384,544,1,8
197,10,396,24,1,10
198,10,396,615,1,9
199,10,396,563,1,7
200,10,396,627,1,9
201,10,396,145,1,7
202,10,396,178,1,9
203,10,396,238,1,8
204,10,396,255,4,33
205,10,396,273,1,9
206,10,405,286,1,9
207,10,519,396,1,9
208,10,531,396,1,10
209,10,627,70,1,12
210,11,51,382,1,10
211,11,160,212,1,9
212,11,178,212,1,9
213,11,212,582,1,8
214,11,212,173,1,8
215,11,212,178,1,10
216,11,212,255,1,7
217,11,212,374,1,9
218,11,212,407,1,6
219,11,212,414,1,10
220,11,212,452,1,8
221,11,366,396,2,21
222,11,366,212,9,90
223,11,396,563,2,16
224,11,396,614,1,9
225,11,396,238,1,8
226,11,396,255,4,34
227,11,396,276,1,7
228,11,396,302,1,10
229,11,396,370,1,8
230,11,396,495,1,9
231,11,495,278,1,8
232,11,495,335,1,8
233,11,519,13,1,9
234,11,544,13,1,7
235,11,544,54,1,7
236,11,545,425,1,9
237,11,563,212,1,7
238,11,614,212,1,9
239,11,627,54,1,8
240,12,13,556,1,9
241,12,20,623,1,8
242,12,54,434,1,8
243,12,145,141,1,9
244,12,212,63,1,9
245,12,212,627,1,8
246,12,212,178,1,10
247,12,212,180,1,10
248,12,212,214,2,12
249,12,212,255,1,9
250,12,212,302,1,12
251,12,212,349,1,9
252,12,212,505,3,22
253,12,238,560,1,9
254,12,238,451,1,8
255,12,278,112,1,9
256,12,278,447,1,9
257,12,288,164,1,9
258,12,302,560,1,10
259,12,335,495,1,9
260,12,345,70,1,10
261,12,366,396,6,52
262,12,366,212,3,27
263,12,370,501,1,9
264,12,378,212,1,10
265,12,396,516,2,20
266,12,396,558,2,21
267,12,396,627,1,11
268,12,396,255,2,17
269,12,396,414,1,6
270,12,425,544,1,7
271,12,442,212,1,9
272,12,495,278,1,9
273,12,501,238,1,7
274,12,544,13,1,9
275,12,544,623,1,9
276,12,544,212,1,9
277,12,545,212,1,7
278,12,560,412,1,8
279,13,8,212,1,9
280,13,212,580,1,13
281,13,212,124,1,10
282,13,212,178,2,19
283,13,212,214,2,17
284,13,212,231,1,7
285,13,212,255,2,19
286,13,212,273,2,15
287,13,212,349,1,8
288,13,212,412,1,9
289,13,212,489,1,8
290,13,214,212,1,9
291,13,238,560,1,9
292,13,255,396,1,5
293,13,255,623,1,7
294,13,366,396,8,82
295,13,366,212,5,48
296,13,382,318,1,7
297,13,396,544,1,11
298,13,396,63,1,8
299,13,396,627,1,7
300,13,396,158,1,8
301,13,396,238,1,8
302,13,396,255,1,8
303,13,396,273,1,6
304,13,396,276,2,18
305,13,396,302,1,7
306,13,396,495,1,9
307,13,442,212,1,9
308,13,544,68,1,10
309,13,545,212,1,8
310,13,560,447,1,8
311,13,563,212,1,9
312,13,582,212,1,10
313,13,598,54,1,7
314,13,615,396,1,10
