,num_infected,cities_infected,num_interactions
0,3000,1,0
1,2856,3,2
2,2817,7,7
3,2657,14,12
4,2587,21,15
5,2477,29,16
6,2328,33,13
7,2236,42,21
8,2192,53,28
9,2178,57,24
10,2052,61,25
11,1919,61,22
12,1978,64,39
13,2031,68,39
14,2033,71,36
15,1939,71,26
16,1785,70,20
17,1624,72,17
18,1513,73,20
19,1379,71,18
20,1238,70,14
21,1206,65,24
22,1192,68,22
23,1073,67,13
24,1030,70,17
25,908,67,9
26,839,63,14
27,784,62,13
28,682,55,7
29,637,54,11
30,563,55,6
31,511,54,7
32,452,45,7
33,375,44,2
34,309,38,2
35,269,35,4
36,249,28,5
