,num_infected,cities_infected,num_interactions
0,5000.0,1,0
1,5995.0,3,2
2,7133.0,11,12
3,8443.0,30,25
4,10098.0,46,39
5,12196.0,63,54
6,14627.0,75,63
7,17399.0,89,85
8,21125.0,105,129
9,25788.0,126,161
10,31294.0,135,183
11,37730.0,147,215
12,45876.0,165,285
13,55432.0,178,320
14,67707.0,188,404
15,83393.0,206,508
16,102331.0,215,584
17,124356.0,231,669
18,152450.0,243,789
19,185978.0,251,880
20,227499.0,262,976
21,278349.0,274,1141
22,339636.0,286,1232
23,414762.0,297,1357
24,503355.0,311,1448
25,615090.0,325,1576
26,749412.0,331,1690
27,913769.0,343,1812
28,1115755.0,354,1888
29,1362338.0,363,1967
30,1664742.0,366,2038
31,2034293.0,371,2155
32,2485694.0,379,2254
33,3043487.0,392,2355
34,3720445.0,399,2412
35,4552875.0,407,2534
36,5564379.0,420,2608
